dataset,dataset_role,model,checkpoint,run_id,perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.0230212714523077,0.013152748346328735,0.021699577569961548,0.02445681206882,0.25066667795181274,0.07400000095367432,0.17666666209697723,0.15533334016799927,0.19868335127830505,0.19733333587646484,0.1779833436012268,0.2173333317041397,5,0.04599999999999999,0.826
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-low,motion,curve,low,0.0010385859059169888,0.0005404949188232422,0.0009584773797541857,0.0011197057319805026,0.25066667795181274,0.23000000417232513,0.020666666328907013,0.00800000037997961,0.03333333507180214,0.03999999910593033,0.029999999329447746,0.05066666752099991,5,0.01266666666666666,0.35
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-mid,motion,curve,mid,0.004983745981007814,0.0029893815517425537,0.004657945595681667,0.00533163920044899,0.25066667795181274,0.2006666660308838,0.05000000074505806,0.03200000151991844,0.06801668554544449,0.08733333647251129,0.073983334004879,0.10266666859388351,5,0.03599999999999999,0.6426666666666667
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-high,motion,curve,high,0.012560552917420864,0.008215606212615967,0.011856808327138424,0.01330490130931139,0.25066667795181274,0.13333334028720856,0.11733333021402359,0.0973166674375534,0.1393333375453949,0.15266667306423187,0.13600000739097595,0.1720000058412552,5,0.06266666666666666,0.8313333333333334
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,color_transform,color-low,appearance,curve,low,1.3695160987481358e-06,9.5367431640625e-07,1.2975107210877468e-06,1.4438123798754532e-06,0.25066667795181274,0.25,0.0006666666595265269,-0.0026666666381061077,0.004000000189989805,0.0026666666381061077,0.0006500002346001565,0.005333333276212215,5,0.0,0.018
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,color_transform,color-mid,appearance,curve,mid,3.047112659260165e-05,2.6285648345947266e-05,2.955399759230204e-05,3.131029006908648e-05,0.25066667795181274,0.24933333694934845,0.0013333333190530539,-0.004666666500270367,0.007333333138376474,0.007333333138376474,0.0033333334140479565,0.012000000104308128,5,0.0006666666666666626,0.07733333333333334
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,color_transform,color-high,appearance,curve,high,0.0002882300177589059,0.00025281310081481934,0.0002803936949931085,0.0002956876123789698,0.25066667795181274,0.2433333396911621,0.007333333138376474,-0.004666666500270367,0.017999999225139618,0.030666666105389595,0.02199999988079071,0.03933333232998848,5,-0.004666666666666666,0.19066666666666668
SSV2,motion-oriented,VideoMAE,MCG-NJU/videomae-base,ssv2-c50-train100-heldout30-videomae-base-frozen-linear-probe,spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.006473261397331953,0.006152927875518799,0.006320514716207981,0.006639524362981319,0.25066667795181274,0.22333332896232605,0.0273333340883255,0.007333333138376474,0.04600000008940697,0.0833333358168602,0.07000000029802322,0.09733333438634872,5,0.006666666666666668,0.7673333333333333
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.012222028337419033,0.0036659538745880127,0.011235576122999191,0.013251151889562607,0.8533333539962769,0.6039999723434448,0.24933333694934845,0.22466666996479034,0.27401667833328247,0.2800000011920929,0.25733333826065063,0.3019999861717224,5,0.10533333333333328,0.22066666666666668
UCF101,appearance-rich / context-correlated contrast,VideoMAE,MCG-NJU/videomae-base,ucf101-c50-train100-heldout30-videomae-base-frozen-linear-probe,freeze_tail,freeze-tail-low,motion,curve,low,0.0004284123133402318,0.00012919306755065918,0.0003877002454828471,0.0004763873293995857,0.8533333539962769,0.8460000157356262,0.007333333138376474,-0.0020000000949949026,0.01666666753590107,0.02133333310484886,0.014666666276752949,0.029333332553505898,5,0.009333333333333305,0.06133333333333333
