model,dataset,dataset_role,motion_flip_rate,appearance_flip_rate,behavioral_bias_diff,motion_mean_cosine_distance,appearance_mean_cosine_distance,repr_bias_log2_ratio,repr_bias_log2_ratio_strong
VideoMAE,SSV2,motion-oriented,0.20266667008399963,0.08399999886751175,0.11866667121648788,0.0230212714523077,0.006473261397331953,1.8304026869749517,5.445530679530763
VideoMAE,UCF101,appearance-rich / context-correlated contrast,0.2800000011920929,0.31333333253860474,-0.03333333134651184,0.012222028337419033,0.009448105469346046,0.37138672168559167,3.731273199941711
VideoMAE,Diving48,fine-grained motion / pose contrast,0.05624999850988388,0.02291666716337204,0.03333333134651184,0.08018187433481216,0.0010661687701940536,6.232767073153888,7.988531838716884
SlowFast R50 8x8,SSV2,motion-oriented,0.23333333432674408,0.06466666609048843,0.16866666823625565,0.22183437645435333,0.07613886147737503,1.542778034692344,3.6316273469267277
SlowFast R50 8x8,UCF101,appearance-rich / context-correlated contrast,0.04866666719317436,0.01600000075995922,0.03266666643321514,0.16136664152145386,0.06082041561603546,1.4077147737222144,4.0112158125850135
SlowFast R50 8x8,Diving48,fine-grained motion / pose contrast,0.0729166641831398,0.012500000186264515,0.060416663996875286,0.20533856749534607,0.005340942647308111,5.264766160012446,4.838867239570808
DINOv2 frame-mean,SSV2,motion-oriented,0.0,0.03733333200216293,-0.03733333200216293,3.794828984382548e-08,0.04830054193735123,-10.0,2.8384811354258783
DINOv2 frame-mean,UCF101,appearance-rich / context-correlated contrast,0.0,0.004000000189989805,-0.004000000189989805,3.202756104769833e-08,0.03937322646379471,-10.0,1.5169205871994067
DINOv2 frame-mean,Diving48,fine-grained motion / pose contrast,0.0,0.010416666977107525,-0.010416666977107525,3.712872498340403e-08,0.0033294889144599438,-10.0,3.254607761274889
V-JEPA2,HMDB51,action-recognition,0.23228345811367035,0.18766404688358307,0.04461941123008728,0.09065679460763931,0.14703641831874847,-0.6976864660176935,2.827339830642977
VideoMAE,HMDB51,action-recognition,0.19160105288028717,0.18438319861888885,0.007217854261398315,0.014272277243435383,0.009094726294279099,0.650113362151851,3.8179513741211393
SlowFast R50 8x8,HMDB51,action-recognition,0.21128608286380768,0.08136483281850815,0.12992125004529953,0.24053438007831573,0.06668746471405029,1.8507555928100254,4.014030229971186
VideoMAE,Kinetics,large-scale web-video,0.1966666728258133,0.06599999964237213,0.13066667318344116,0.018171697854995728,0.0026342137716710567,2.7862484213796437,4.619452004351968
DisMo,Kinetics,large-scale web-video,0.1679999977350235,0.03933333232998848,0.12866666540503502,0.37727826833724976,0.008973232470452785,5.393857246755714,4.966096631599373
V-JEPA2,Kinetics,large-scale web-video,0.23333333432674408,0.0860000029206276,0.14733333140611649,0.08542802929878235,0.09885008633136749,-0.21053272176899515,3.3280132632872084
DINOv2 frame-mean,HMDB51,action-recognition,0.0,0.04593176022171974,-0.04593176022171974,3.308761620246514e-08,0.037913139909505844,-10.0,2.134753026086443
DINOv2 frame-mean,Kinetics,large-scale web-video,0.0,0.012000000104308128,-0.012000000104308128,3.52859501617786e-08,0.01494239829480648,-10.0,2.0182303952782967
SlowFast R50 8x8,Kinetics,large-scale web-video,0.08933333307504654,0.024000000208616257,0.06533333286643028,0.18604455888271332,0.024945873767137527,2.8987750395622127,3.754952230243229
DisMo,Diving48,fine-grained motion / pose contrast,0.0833333358168602,0.012500000186264515,0.07083333563059568,0.7094050049781799,0.002589401789009571,8.097846302553089,6.511798248318294
V-JEPA2,Diving48,fine-grained motion / pose contrast,0.07083333283662796,0.04583333432674408,0.02499999850988388,0.12085548788309097,0.05851026996970177,1.0465211927260418,5.197991706814056
DisMo,HMDB51,action-recognition,0.2618110179901123,0.06889763474464417,0.19291338324546814,0.3622363209724426,0.017676668241620064,4.357012851682538,4.937436518138164
DisMo,SSV2,motion-oriented,0.28466665744781494,0.04399999976158142,0.24066665768623352,0.40978503227233887,0.021687326952815056,4.239943075394296,5.486546824279823
V-JEPA2,UCF101,appearance-rich / context-correlated contrast,0.07733333110809326,0.1653333306312561,-0.08799999952316284,0.07289111614227295,0.15121784806251526,-1.0528135220196972,2.900411101403866
V-JEPA2,SSV2,motion-oriented,0.2746666669845581,0.10733333230018616,0.16733333468437195,0.07669823616743088,0.1046106368303299,-0.44776424203895904,3.530124714204304
