perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,3.712872498340403e-08,0.0,3.228585043757448e-08,4.222306415613275e-08,0.09583333134651184,0.09583333134651184,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
freeze_tail,freeze-tail-low,motion,curve,low,0.0037395900581032038,0.0029675066471099854,0.0034848758950829506,0.00398513488471508,0.09583333134651184,0.09791667014360428,-0.0020833334419876337,-0.014583333395421505,0.012500000186264515,0.010416666977107525,0.0020833334419876337,0.02083333395421505,5,0.008333333333333331,0.18333333333333332
freeze_tail,freeze-tail-mid,motion,curve,mid,0.024579213932156563,0.01946684718132019,0.022923165932297707,0.026265032589435577,0.09583333134651184,0.08958332985639572,0.0062500000931322575,-0.014583333395421505,0.02708333358168602,0.03125,0.01666666753590107,0.04791666567325592,5,0.03333333333333333,0.36666666666666664
freeze_tail,freeze-tail-high,motion,curve,high,0.06282702088356018,0.051069438457489014,0.059134114533662796,0.06658440083265305,0.09583333134651184,0.08124999701976776,0.014583333395421505,-0.010468749329447746,0.0416666679084301,0.05624999850988388,0.03541666641831398,0.07708333432674408,5,0.004166666666666666,0.5020833333333333
color_transform,color-low,appearance,curve,low,4.1100505768554285e-05,3.266334533691406e-05,3.815406671492383e-05,4.4358257582644e-05,0.09583333134651184,0.09583333134651184,0.0,-0.0062500000931322575,0.0062500000931322575,0.0020833334419876337,0.0,0.0062500000931322575,5,0.0,0.020833333333333332
color_transform,color-mid,appearance,curve,mid,0.0006475391564890742,0.0005998611450195312,0.000621928134933114,0.0006741789984516799,0.09583333134651184,0.09583333134651184,0.0,-0.008333333767950535,0.008333333767950535,0.004166666883975267,0.0,0.010416666977107525,5,0.0,0.06875
color_transform,color-high,appearance,curve,high,0.006582817994058132,0.00606045126914978,0.0063385264948010445,0.006844909396022558,0.09583333134651184,0.09791667014360428,-0.0020833334419876337,-0.01666666753590107,0.012500000186264515,0.012500000186264515,0.004166666883975267,0.02291666716337204,5,0.010416666666666671,0.20833333333333334
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.0033294889144599438,0.0025350451469421387,0.003110632998868823,0.0035735066048800945,0.09583333134651184,0.09166666865348816,0.004166666883975267,-0.0062500000931322575,0.01666666753590107,0.010416666977107525,0.0020833334419876337,0.02083333395421505,5,0.004166666666666666,0.11041666666666666
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.036489471793174744,0.029409259557724,0.033921703696250916,0.0391734279692173,0.09583333134651184,0.09583333134651184,0.0,-0.02500000037252903,0.02291666716337204,0.03125,0.01666666753590107,0.04791666567325592,5,-0.0062500000000000056,0.35208333333333336
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.15933632850646973,0.12721261382102966,0.14952775835990906,0.16887736320495605,0.09583333134651184,0.07708333432674408,0.01875000074505806,-0.010416666977107525,0.04583333432674408,0.05833333358168602,0.03750000149011612,0.07916666567325592,5,0.03125,0.6333333333333333
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.38493794202804565,0.3839741349220276,0.37260812520980835,0.3974594473838806,0.09583333134651184,0.05000000074505806,0.04583333432674408,0.014583333395421505,0.07500000298023224,0.07916666567325592,0.05416666716337204,0.1041666641831398,5,0.03333333333333333,0.8833333333333333
solarization,solarization-low,appearance,curve,low,0.0786156877875328,0.047260016202926636,0.07047311961650848,0.08696283400058746,0.09583333134651184,0.08749999850988388,0.008333333767950535,-0.014583333395421505,0.03333333507180214,0.0416666679084301,0.02500000037252903,0.06041666492819786,5,0.016666666666666663,0.45625
solarization,solarization-mid,appearance,curve,mid,0.11864946782588959,0.09840327501296997,0.11053158342838287,0.12630808353424072,0.09583333134651184,0.08749999850988388,0.008333333767950535,-0.02083333395421505,0.03541666641831398,0.05416666716337204,0.03333333507180214,0.07500000298023224,5,0.024999999999999994,0.6208333333333333
solarization,solarization-high,appearance,curve,high,0.36297690868377686,0.3592853546142578,0.3537949323654175,0.37147417664527893,0.09583333134651184,0.04374999925494194,0.0520833320915699,0.02083333395421505,0.08541666716337204,0.09166666865348816,0.06458333134651184,0.11666666716337204,5,0.0375,0.89375
