perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.7094050049781799,0.7330100536346436,0.6892492175102234,0.7311509251594543,0.09791667014360428,0.0520833320915699,0.04583333432674408,0.01666666753590107,0.07916666567325592,0.0833333358168602,0.06041666492819786,0.11041666567325592,5,0.029166666666666674,0.9458333333333333
freeze_tail,freeze-tail-low,motion,curve,low,0.004202450625598431,0.003865182399749756,0.004025092348456383,0.004390303511172533,0.09791667014360428,0.10000000149011612,-0.0020833334419876337,-0.014583333395421505,0.010416666977107525,0.008333333767950535,0.0020833334419876337,0.01666666753590107,5,0.004166666666666666,0.17916666666666667
freeze_tail,freeze-tail-mid,motion,curve,mid,0.10644246637821198,0.1107545793056488,0.10305190086364746,0.11019567400217056,0.09791667014360428,0.09583333134651184,0.0020833334419876337,-0.025052083656191826,0.03125,0.05000000074505806,0.03328125178813934,0.07083333283662796,5,0.004166666666666666,0.8520833333333333
freeze_tail,freeze-tail-high,motion,curve,high,0.3877808451652527,0.4014214873313904,0.37440383434295654,0.4013250172138214,0.09791667014360428,0.0520833320915699,0.04583333432674408,0.01666666753590107,0.07708333432674408,0.0833333358168602,0.05833333358168602,0.10833333432674408,5,0.020833333333333336,0.9291666666666667
color_transform,color-low,appearance,curve,low,1.1667112630675547e-05,8.404254913330078e-06,1.0666592061170377e-05,1.2680053259828128e-05,0.09791667014360428,0.09375,0.004166666883975267,0.0,0.010416666977107525,0.004166666883975267,0.0,0.010416666977107525,5,0.0,0.00625
color_transform,color-mid,appearance,curve,mid,0.0003985674411524087,0.0003376901149749756,0.0003782846324611455,0.0004205235745757818,0.09791667014360428,0.09166666865348816,0.0062500000931322575,0.0,0.014583333395421505,0.0062500000931322575,0.0,0.014583333395421505,5,-0.002083333333333326,0.03125
color_transform,color-high,appearance,curve,high,0.004249517805874348,0.0038250088691711426,0.004041449632495642,0.004471651744097471,0.09791667014360428,0.08749999850988388,0.010416666977107525,-0.0020833334419876337,0.02291666716337204,0.01666666753590107,0.0062500000931322575,0.02916666679084301,5,0.0,0.13541666666666666
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.002589401789009571,0.0016867518424987793,0.0023895245976746082,0.0027873748913407326,0.09791667014360428,0.08958332985639572,0.008333333767950535,-0.004166666883975267,0.02083333395421505,0.012500000186264515,0.004166666883975267,0.02291666716337204,5,0.010416666666666671,0.1125
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.005486380774527788,0.004559189081192017,0.005169468466192484,0.005801995750516653,0.09791667014360428,0.09166666865348816,0.0062500000931322575,-0.0062500000931322575,0.018802134320139885,0.014583333395421505,0.0062500000931322575,0.02708333358168602,5,0.004166666666666666,0.20833333333333334
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.013326287269592285,0.011556357145309448,0.01273283176124096,0.013945906423032284,0.09791667014360428,0.08749999850988388,0.010416666977107525,-0.0062500000931322575,0.02708333358168602,0.02500000037252903,0.012500000186264515,0.03958333283662796,5,0.0,0.28958333333333336
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.04018587991595268,0.03747206926345825,0.03852072358131409,0.04183078929781914,0.09791667014360428,0.09166666865348816,0.0062500000931322575,-0.014583333395421505,0.02708333358168602,0.03333333507180214,0.01875000074505806,0.05000000074505806,5,0.0,0.43333333333333335
solarization,solarization-low,appearance,curve,low,0.0218301210552454,0.01325678825378418,0.0198866818100214,0.02402905747294426,0.09791667014360428,0.09166666865348816,0.0062500000931322575,-0.010468749329447746,0.02500000037252903,0.02500000037252903,0.012500000186264515,0.03958333283662796,5,-0.002083333333333326,0.24791666666666667
solarization,solarization-mid,appearance,curve,mid,0.023946352303028107,0.01580110192298889,0.022017523646354675,0.026019716635346413,0.09791667014360428,0.08958332985639572,0.008333333767950535,-0.010416666977107525,0.02916666679084301,0.03333333507180214,0.01875000074505806,0.05000000074505806,5,0.010416666666666671,0.30833333333333335
solarization,solarization-high,appearance,curve,high,0.05869231000542641,0.0545009970664978,0.05660896748304367,0.060847990214824677,0.09791667014360428,0.09791667014360428,0.0,-0.020885417237877846,0.02291666716337204,0.03541666641831398,0.02083333395421505,0.0520833320915699,5,0.008333333333333331,0.4875
