perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.20533856749534607,0.20351725816726685,0.19795925915241241,0.21219460666179657,0.09375,0.07083333283662796,0.02291666716337204,-0.0062500000931322575,0.054218802601099014,0.0729166641831398,0.05000000074505806,0.09791667014360428,5,0.010416666666666671,0.8666666666666667
freeze_tail,freeze-tail-low,motion,curve,low,0.045089174062013626,0.03764408826828003,0.0426107682287693,0.04763399809598923,0.09375,0.0833333358168602,0.010416666977107525,-0.012500000186264515,0.03541666641831398,0.0416666679084301,0.02500000037252903,0.0625,5,0.008333333333333331,0.6041666666666666
freeze_tail,freeze-tail-mid,motion,curve,mid,0.13684922456741333,0.11652344465255737,0.1306321769952774,0.14304202795028687,0.09375,0.07708333432674408,0.01666666753590107,-0.012500000186264515,0.05000000074505806,0.07500000298023224,0.05416666716337204,0.10208333283662796,5,0.0,0.7854166666666667
freeze_tail,freeze-tail-high,motion,curve,high,0.26478034257888794,0.24146044254302979,0.2550428807735443,0.2740529775619507,0.09375,0.06041666492819786,0.03333333507180214,0.004166666883975267,0.06458333134651184,0.07708333432674408,0.05416666716337204,0.10208333283662796,5,0.01666666666666667,0.9083333333333333
color_transform,color-low,appearance,curve,low,3.334122447995469e-05,2.753734588623047e-05,3.1286141165765e-05,3.539184763212688e-05,0.09375,0.09375,0.0,-0.0062500000931322575,0.0062500000931322575,0.0020833334419876337,0.0,0.0062500000931322575,5,-0.002083333333333326,0.029166666666666667
color_transform,color-mid,appearance,curve,mid,0.0009018225246109068,0.0007542669773101807,0.0008539683767594397,0.0009506148635409772,0.09375,0.09375,0.0,-0.010416666977107525,0.010416666977107525,0.0062500000931322575,0.0,0.014583333395421505,5,-0.002083333333333326,0.15625
color_transform,color-high,appearance,curve,high,0.009252125397324562,0.00776517391204834,0.008776684291660786,0.009735042229294777,0.09375,0.08958332985639572,0.004166666883975267,-0.014583333395421505,0.02500000037252903,0.02500000037252903,0.012500000186264515,0.0416666679084301,5,0.004166666666666666,0.38333333333333336
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.005340942647308111,0.004510670900344849,0.0050362092442810535,0.005669468082487583,0.09375,0.09791667014360428,-0.004166666883975267,-0.01875000074505806,0.010416666977107525,0.012500000186264515,0.004166666883975267,0.02291666716337204,5,-0.010416666666666657,0.31666666666666665
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.01625283993780613,0.013031989336013794,0.015075535513460636,0.017421528697013855,0.09375,0.08958332985639572,0.004166666883975267,-0.016718750819563866,0.02500000037252903,0.02916666679084301,0.014583333395421505,0.04374999925494194,5,0.004166666666666666,0.41875
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.07020417600870132,0.06297513842582703,0.06633705645799637,0.0739002451300621,0.09375,0.07083333283662796,0.02291666716337204,-0.0021354160271584988,0.05000000074505806,0.05833333358168602,0.03958333283662796,0.08124999701976776,5,0.004166666666666666,0.6854166666666667
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.23919005692005157,0.23029839992523193,0.23054566979408264,0.24801543354988098,0.09375,0.0625,0.03125,-0.0020833334419876337,0.0625,0.07708333432674408,0.05624999850988388,0.10208333283662796,5,0.01666666666666667,0.8645833333333334
solarization,solarization-low,appearance,curve,low,0.06992705911397934,0.03874287009239197,0.06204735115170479,0.0778096616268158,0.09375,0.07916666567325592,0.014583333395421505,-0.008333333767950535,0.03750000149011612,0.03750000149011612,0.02083333395421505,0.05624999850988388,5,0.008333333333333331,0.5520833333333334
solarization,solarization-mid,appearance,curve,mid,0.10249703377485275,0.08069831132888794,0.09452705830335617,0.11031787842512131,0.09375,0.09166666865348816,0.0020833334419876337,-0.02083333395421505,0.02500000037252903,0.03333333507180214,0.01875000074505806,0.05000000074505806,5,-0.006249999999999992,0.73125
solarization,solarization-high,appearance,curve,high,0.29671573638916016,0.28597763180732727,0.28847944736480713,0.30488431453704834,0.09375,0.04791666567325592,0.04583333432674408,0.014583333395421505,0.07708333432674408,0.0833333358168602,0.06041666492819786,0.10838546603918076,5,0.012500000000000004,0.9
