perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.12085548788309097,0.11948126554489136,0.118614561855793,0.12332853674888611,0.08541666716337204,0.0625,0.02291666716337204,-0.010416666977107525,0.05416666716337204,0.07083333283662796,0.04791666567325592,0.09375,5,0.033333333333333326,0.8145833333333333
freeze_tail,freeze-tail-low,motion,curve,low,0.042486149817705154,0.04155972599983215,0.040367964655160904,0.04476601257920265,0.08541666716337204,0.1041666641831398,-0.01875000074505806,-0.04583333432674408,0.008333333767950535,0.03958333283662796,0.02291666716337204,0.05624999850988388,5,0.008333333333333331,0.7083333333333334
freeze_tail,freeze-tail-mid,motion,curve,mid,0.10301289707422256,0.1048659086227417,0.10020362585783005,0.10610383749008179,0.08541666716337204,0.0729166641831398,0.012500000186264515,-0.02083333395421505,0.04583333432674408,0.0729166641831398,0.05000000074505806,0.09583333134651184,5,0.041666666666666664,0.8791666666666667
freeze_tail,freeze-tail-high,motion,curve,high,0.1881890892982483,0.19173333048820496,0.18387538194656372,0.19234956800937653,0.08541666716337204,0.05833333358168602,0.02708333358168602,-0.0020833334419876337,0.05833333358168602,0.07083333283662796,0.04791666567325592,0.09375,5,0.04583333333333333,0.9354166666666667
color_transform,color-low,appearance,curve,low,2.3948648959049024e-05,2.065300941467285e-05,2.2668615201837383e-05,2.511595630494412e-05,0.08541666716337204,0.08541666716337204,0.0,0.0,0.0,0.0,0.0,0.0,5,0.002083333333333326,0.027083333333333334
color_transform,color-mid,appearance,curve,mid,0.0005104948068037629,0.00046011805534362793,0.0004918515915051103,0.0005286838277243078,0.08541666716337204,0.09166666865348816,-0.0062500000931322575,-0.01666666753590107,0.004166666883975267,0.004166666883975267,0.0,0.010416666977107525,5,0.008333333333333331,0.1
color_transform,color-high,appearance,curve,high,0.00512675940990448,0.004653483629226685,0.004953024443238974,0.005313409958034754,0.08541666716337204,0.08749999850988388,-0.0020833334419876337,-0.02291666716337204,0.01875000074505806,0.02708333358168602,0.014583333395421505,0.04374999925494194,5,0.008333333333333331,0.275
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.05851026996970177,0.053538620471954346,0.05632905289530754,0.06070738658308983,0.08541666716337204,0.07500000298023224,0.010416666977107525,-0.01666666753590107,0.03541666641831398,0.04583333432674408,0.02708333358168602,0.06666667014360428,5,0.012499999999999997,0.8041666666666667
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.010298569686710835,0.00899958610534668,0.00970984622836113,0.010850891470909119,0.08541666716337204,0.08124999701976776,0.004166666883975267,-0.02083333395421505,0.02708333358168602,0.03958333283662796,0.02291666716337204,0.05624999850988388,5,0.014583333333333323,0.4166666666666667
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.02590428851544857,0.0248870849609375,0.02489658072590828,0.02684299647808075,0.08541666716337204,0.09375,-0.008333333767950535,-0.03750000149011612,0.01875000074505806,0.04583333432674408,0.02916666679084301,0.06458333134651184,5,-0.0062500000000000056,0.5770833333333333
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.06392587721347809,0.06228667497634888,0.06168390437960625,0.06597397476434708,0.08541666716337204,0.07708333432674408,0.008333333767950535,-0.02083333395421505,0.037552136927843094,0.06041666492819786,0.03958333283662796,0.08130212873220444,5,0.01874999999999999,0.8083333333333333
solarization,solarization-low,appearance,curve,low,0.023556265980005264,0.01914072036743164,0.021784905344247818,0.02544589526951313,0.08541666716337204,0.09375,-0.008333333767950535,-0.03333333507180214,0.01875000074505806,0.03541666641831398,0.01875000074505806,0.0520833320915699,5,0.02291666666666666,0.5354166666666667
solarization,solarization-mid,appearance,curve,mid,0.02728530764579773,0.024379640817642212,0.025634385645389557,0.02879362367093563,0.08541666716337204,0.08749999850988388,-0.0020833334419876337,-0.02708333358168602,0.020885467529296875,0.03750000149011612,0.02083333395421505,0.05416666716337204,5,0.024999999999999994,0.575
solarization,solarization-high,appearance,curve,high,0.06645172089338303,0.06273436546325684,0.06456176191568375,0.06825468689203262,0.08541666716337204,0.0520833320915699,0.03333333507180214,0.004114584531635046,0.0625,0.0729166641831398,0.05000000074505806,0.09583333134651184,5,0.0375,0.81875
