perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.3622363209724426,0.32705116271972656,0.3514845669269562,0.37404775619506836,0.4730971157550812,0.284776896238327,0.18832020461559296,0.16207349300384521,0.21392717957496643,0.2618110179901123,0.24014107882976532,0.282808393239975,5,0.17519685039370078,0.8038057742782152
freeze_tail,freeze-tail-low,motion,curve,low,0.0033044912852346897,0.002563953399658203,0.0031574058812111616,0.0034592312294989824,0.4730971157550812,0.465223103761673,0.007874015718698502,-0.003297243732959032,0.01902887225151062,0.028871390968561172,0.02099737524986267,0.03740157559514046,5,0.009186351706036766,0.1568241469816273
freeze_tail,freeze-tail-mid,motion,curve,mid,0.05569860339164734,0.046638429164886475,0.05369257554411888,0.0578090101480484,0.4730971157550812,0.3733595907688141,0.09973753243684769,0.07808399200439453,0.1200951635837555,0.15157480537891388,0.1338418573141098,0.16863517463207245,5,0.15223097112860892,0.6496062992125984
freeze_tail,freeze-tail-high,motion,curve,high,0.17185932397842407,0.14671370387077332,0.16611595451831818,0.17787189781665802,0.4730971157550812,0.18963254988193512,0.28346458077430725,0.25851377844810486,0.3097112774848938,0.3293963372707367,0.306430459022522,0.3530183732509613,5,0.2979002624671916,0.889763779527559
color_transform,color-low,appearance,curve,low,2.613863216538448e-05,1.7940998077392578e-05,2.3181595679488964e-05,2.940610283985734e-05,0.4730971157550812,0.4724409580230713,0.0006561679765582085,-0.002624671906232834,0.004593175835907459,0.002624671906232834,0.0006561679765582085,0.005249343812465668,5,-0.0026246719160105125,0.01706036745406824
color_transform,color-mid,appearance,curve,mid,0.0005096085951663554,0.00040966272354125977,0.0004913850571028888,0.0005275167641229928,0.4730971157550812,0.47047245502471924,0.002624671906232834,-0.0052657476626336575,0.010498687624931335,0.01312335953116417,0.007874015718698502,0.01902887225151062,5,-0.009186351706036766,0.08136482939632546
color_transform,color-high,appearance,curve,high,0.005608626641333103,0.004583626985549927,0.00542364502325654,0.005798618774861097,0.4730971157550812,0.46194225549697876,0.011154855601489544,-0.0019685039296746254,0.024278216063976288,0.04133858159184456,0.03213582932949066,0.05118110403418541,5,-0.009186351706036766,0.2316272965879265
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.017676668241620064,0.015780091285705566,0.017187293618917465,0.018166160210967064,0.4730971157550812,0.443569540977478,0.029527559876441956,0.01312335953116417,0.044635843485593796,0.06889763474464417,0.05708661302924156,0.08136483281850815,5,0.02296587926509186,0.3274278215223097
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.008552467450499535,0.007198631763458252,0.008259814232587814,0.008852376602590084,0.4730971157550812,0.465223103761673,0.007874015718698502,-0.006561679765582085,0.021653544157743454,0.042650919407606125,0.03215223178267479,0.0525098592042923,5,-0.0026246719160105125,0.229002624671916
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.019623572006821632,0.016262859106063843,0.018938735127449036,0.020270967856049538,0.4730971157550812,0.45013123750686646,0.02296588011085987,0.005232939962297678,0.04002624750137329,0.07677165418863297,0.0636482909321785,0.08991143107414246,5,0.02099737532808399,0.307742782152231
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.051608409732580185,0.04237276315689087,0.049607038497924805,0.05334398150444031,0.4730971157550812,0.4009186327457428,0.07217847555875778,0.04986876621842384,0.09448818862438202,0.13713911175727844,0.11942256987094879,0.154199481010437,5,0.04986876640419946,0.4416010498687664
solarization,solarization-low,appearance,curve,low,0.02986001782119274,0.021451115608215332,0.028445595875382423,0.03136388212442398,0.4730971157550812,0.41535434126853943,0.057742781937122345,0.03937007859349251,0.0754593163728714,0.09317585080862045,0.07874015718698502,0.1076279729604721,5,0.01968503937007876,0.3169291338582677
solarization,solarization-mid,appearance,curve,mid,0.019849931821227074,0.013668328523635864,0.0188963171094656,0.020910190418362617,0.4730971157550812,0.4448818862438202,0.02821522392332554,0.011811023578047752,0.04527559131383896,0.07086614519357681,0.057742781937122345,0.08464566618204117,5,0.011154855643044637,0.27887139107611547
solarization,solarization-high,appearance,curve,high,0.0679660439491272,0.06200301647186279,0.06625682860612869,0.06956776976585388,0.4730971157550812,0.3385826647281647,0.1345144361257553,0.11087597906589508,0.15749673545360565,0.19291338324546814,0.17322835326194763,0.21195867657661438,5,0.06167979002624674,0.47965879265091865
