perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
freeze_tail,freeze-tail-low,motion,curve,low,0.039396416395902634,0.036087602376937866,0.03829371929168701,0.04055175930261612,0.7178477644920349,0.6889764070510864,0.028871390968561172,0.01441929116845131,0.04330708831548691,0.06102362275123596,0.04921259731054306,0.07283464819192886,5,0.008530183727034069,0.18503937007874016
freeze_tail,freeze-tail-mid,motion,curve,mid,0.11522510647773743,0.11068058013916016,0.11282858997583389,0.11749616265296936,0.7178477644920349,0.624015748500824,0.09383202344179153,0.07347440719604492,0.11351706087589264,0.12860892713069916,0.1108923852443695,0.14566929638385773,5,0.06430446194225725,0.3169291338582677
freeze_tail,freeze-tail-high,motion,curve,high,0.230302631855011,0.22349372506141663,0.22634871304035187,0.2348432093858719,0.7178477644920349,0.495406836271286,0.2224409431219101,0.19880248606204987,0.24671916663646698,0.2532808482646942,0.23228345811367035,0.2749343812465668,5,0.23818897637795272,0.5761154855643045
color_transform,color-low,appearance,curve,low,9.203242370858788e-05,7.176399230957031e-05,8.816900663077831e-05,9.608324762666598e-05,0.7178477644920349,0.7178477644920349,0.0,-0.002624671906232834,0.002624671906232834,0.001312335953116417,0.0,0.0032808398827910423,5,-0.0045931758530184386,0.012467191601049869
color_transform,color-mid,appearance,curve,mid,0.0016581066884100437,0.0014119148254394531,0.0016012043925002217,0.0017150487983599305,0.7178477644920349,0.7178477644920349,0.0,-0.005249343812465668,0.005249343812465668,0.005249343812465668,0.0019685039296746254,0.009186351671814919,5,-0.0019685039370078705,0.0531496062992126
color_transform,color-high,appearance,curve,high,0.014254610985517502,0.012304812669754028,0.013773668557405472,0.014725872315466404,0.7178477644920349,0.7158792614936829,0.0019685039296746254,-0.00853018369525671,0.01117127574980259,0.02296588011085987,0.015748031437397003,0.03018372692167759,5,0.0032808398950131545,0.13517060367454067
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.06668746471405029,0.06026151776313782,0.0647912472486496,0.06871805340051651,0.7178477644920349,0.6771653294563293,0.040682416409254074,0.024278216063976288,0.05708661302924156,0.08136483281850815,0.06953740119934082,0.09448818862438202,5,0.022309711286089273,0.25196850393700787
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.24053438007831573,0.22666645050048828,0.23507285118103027,0.24601301550865173,0.7178477644920349,0.5452755689620972,0.17257218062877655,0.14895012974739075,0.19621065258979797,0.21128608286380768,0.19160105288028717,0.23228345811367035,5,0.0944881889763779,0.4251968503937008
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.040760256350040436,0.026417255401611328,0.03828458860516548,0.04357409104704857,0.7178477644920349,0.6863517165184021,0.031496062874794006,0.017043963074684143,0.04593176022171974,0.05643044784665108,0.04527559131383896,0.06824146956205368,5,0.017060367454068248,0.2053805774278215
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.13713215291500092,0.11053353548049927,0.13168029487133026,0.1427067667245865,0.7178477644920349,0.6272965669631958,0.09055118262767792,0.06889763474464417,0.11154855787754059,0.1351706087589264,0.11811023950576782,0.15288713574409485,5,0.06364829396325455,0.32545931758530183
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.30305948853492737,0.29040539264678955,0.29566240310668945,0.310158371925354,0.7178477644920349,0.4442257285118103,0.2736220359802246,0.2460629940032959,0.3018536865711212,0.3143044710159302,0.2919783592224121,0.33989500999450684,5,0.17979002624671914,0.5347769028871391
solarization,solarization-low,appearance,curve,low,0.11974039673805237,0.0970127284526825,0.11436225473880768,0.1257999986410141,0.7178477644920349,0.6076115369796753,0.11023622006177902,0.08987860381603241,0.1312336027622223,0.14370079338550568,0.12598425149917603,0.16143374145030975,5,0.05774278215223094,0.2683727034120735
solarization,solarization-mid,appearance,curve,mid,0.12508976459503174,0.10429239273071289,0.12012346088886261,0.13039779663085938,0.7178477644920349,0.5898950099945068,0.12795275449752808,0.1069553792476654,0.14895012974739075,0.16404199600219727,0.14632545411586761,0.18307086825370789,5,0.07742782152230965,0.3169291338582677
solarization,solarization-high,appearance,curve,high,0.3101273477077484,0.29952630400657654,0.30379533767700195,0.3161967992782593,0.7178477644920349,0.39566928148269653,0.3221784830093384,0.29199475049972534,0.35104987025260925,0.36286088824272156,0.3366141617298126,0.38713911175727844,5,0.21391076115485563,0.5695538057742782
