perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
freeze_tail,freeze-tail-low,motion,curve,low,0.00046565046068280935,0.00017443299293518066,0.00042548132478259504,0.0005052435444667935,0.36351704597473145,0.35564303398132324,0.007874015718698502,-0.002624671906232834,0.018372703343629837,0.02690288797020912,0.019668634980916977,0.03477690368890762,5,0.011811023622047251,0.2473753280839895
freeze_tail,freeze-tail-mid,motion,curve,mid,0.0024779506493359804,0.0012263357639312744,0.002301326487213373,0.002659516641870141,0.36351704597473145,0.3300524950027466,0.03346456587314606,0.01835629902780056,0.04922901839017868,0.06627296656370163,0.05380577594041824,0.08070866018533707,5,0.0321522309711286,0.47112860892388453
freeze_tail,freeze-tail-high,motion,curve,high,0.006861730013042688,0.0038036108016967773,0.006420421414077282,0.007330313790589571,0.36351704597473145,0.25984251499176025,0.10367453843355179,0.08398950099945068,0.12467191368341446,0.14107611775398254,0.12531167268753052,0.158792644739151,5,0.04658792650918635,0.6299212598425197
color_transform,color-low,appearance,curve,low,2.0153331661276752e-06,1.4901161193847656e-06,1.9074786905548535e-06,2.1255266346997814e-06,0.36351704597473145,0.36351704597473145,0.0,-0.0019685039296746254,0.0019685039296746254,0.0006561679765582085,0.0,0.0019685039296746254,5,-0.0019685039370078705,0.014435695538057743
color_transform,color-mid,appearance,curve,mid,5.076102024759166e-05,4.410743713378906e-05,4.935803735861555e-05,5.210227027419023e-05,0.36351704597473145,0.3562992215156555,0.007217847742140293,-0.0006561679765582085,0.015091863460838795,0.015748031437397003,0.009842519648373127,0.022326132282614708,5,-0.0013123359580052563,0.09514435695538058
color_transform,color-high,appearance,curve,high,0.00048653592239134014,0.00043272972106933594,0.00047529590665362775,0.0004976860363967717,0.36351704597473145,0.33202099800109863,0.031496062874794006,0.017043963074684143,0.04724409431219101,0.0636482909321785,0.051820866763591766,0.0761319100856781,5,0.0006561679790026143,0.24081364829396326
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.009094726294279099,0.008725792169570923,0.008947515860199928,0.009237918071448803,0.36351704597473145,0.221784770488739,0.14173229038715363,0.11942256987094879,0.16602692008018494,0.18438319861888885,0.16601049900054932,0.20472441613674164,5,0.06758530183727034,0.7952755905511811
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.014272277243435383,0.005999326705932617,0.013323519378900528,0.015335353091359138,0.36351704597473145,0.21653543412685394,0.1469816267490387,0.12270341068506241,0.17127625644207,0.19160105288028717,0.17191600799560547,0.21325458586215973,5,0.03871391076115485,0.6023622047244095
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.003148981835693121,0.002654135227203369,0.0030525275506079197,0.0032585603184998035,0.36351704597473145,0.2578740119934082,0.10564304143190384,0.08267716318368912,0.1305774301290512,0.15944881737232208,0.1423720419406891,0.17913386225700378,5,0.01312335958005248,0.5288713910761155
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.009404202923178673,0.00843191146850586,0.009161229245364666,0.009647172875702381,0.36351704597473145,0.15748031437397003,0.2060367465019226,0.1824146956205368,0.23164372146129608,0.24278214573860168,0.2224409431219101,0.2650918662548065,5,0.04199475065616798,0.7257217847769029
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.020450429990887642,0.018907278776168823,0.019999023526906967,0.0209153201431036,0.36351704597473145,0.09580052644014359,0.26771652698516846,0.2421259880065918,0.29527559876441956,0.29921260476112366,0.2749343812465668,0.3248031437397003,5,0.07939632545931759,0.8471128608923885
solarization,solarization-low,appearance,curve,low,0.004467453807592392,0.002501368522644043,0.004165021236985922,0.004819970577955246,0.36351704597473145,0.26837271451950073,0.0951443538069725,0.07609908282756805,0.11811023950576782,0.13648293912410736,0.12007874250411987,0.15682414174079895,5,0.01312335958005248,0.4927821522309711
solarization,solarization-mid,appearance,curve,mid,0.005501110572367907,0.004161924123764038,0.005200611427426338,0.005828523077070713,0.36351704597473145,0.24015748500823975,0.12335958331823349,0.10234580188989639,0.14634187519550323,0.16994750499725342,0.15157480537891388,0.18964897096157074,5,0.015091863517060378,0.5426509186351706
solarization,solarization-high,appearance,curve,high,0.013199876062572002,0.011764734983444214,0.012818004935979843,0.013604484498500824,0.36351704597473145,0.15551181137561798,0.20800524950027466,0.18372704088687897,0.23490813374519348,0.25590550899505615,0.23556430637836456,0.27952754497528076,5,0.06036745406824147,0.7992125984251969
