perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,3.52859501617786e-08,0.0,3.2662349269685365e-08,3.802875880865031e-08,0.8306666612625122,0.8306666612625122,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
freeze_tail,freeze-tail-low,motion,curve,low,0.0015125495847314596,0.0007936358451843262,0.001397724379785359,0.0016417900333181024,0.8306666612625122,0.8306666612625122,0.0,-0.005333333276212215,0.005333333276212215,0.005333333276212215,0.0020000000949949026,0.009333333000540733,5,-0.0013333333333332975,0.014666666666666666
freeze_tail,freeze-tail-mid,motion,curve,mid,0.009907789528369904,0.005889624357223511,0.009251783601939678,0.010608226992189884,0.8306666612625122,0.8320000171661377,-0.0013333333190530539,-0.008666666224598885,0.006000000052154064,0.01066666655242443,0.006000000052154064,0.01600000075995922,5,-0.0020000000000000018,0.048666666666666664
freeze_tail,freeze-tail-high,motion,curve,high,0.028392361477017403,0.017797261476516724,0.02664174698293209,0.030349818989634514,0.8306666612625122,0.8206666707992554,0.009999999776482582,0.0,0.020666666328907013,0.02666666731238365,0.019333332777023315,0.03466666489839554,5,0.01200000000000001,0.08733333333333333
color_transform,color-low,appearance,curve,low,5.443755799205974e-05,3.746151924133301e-05,5.132800288265571e-05,5.7994737289845943e-05,0.8306666612625122,0.8320000171661377,-0.0013333333190530539,-0.004000000189989805,0.0013333333190530539,0.0006666666595265269,0.0,0.0020000000949949026,5,0.0,0.0033333333333333335
color_transform,color-mid,appearance,curve,mid,0.0007557216449640691,0.0005556046962738037,0.000713420333340764,0.0008031129837036133,0.8306666612625122,0.8306666612625122,0.0,-0.0033333334140479565,0.004000000189989805,0.0026666666381061077,0.0006666666595265269,0.005333333276212215,5,0.0006666666666667043,0.012
color_transform,color-high,appearance,curve,high,0.0070089600048959255,0.005490541458129883,0.006739986129105091,0.007313164882361889,0.8306666612625122,0.8299999833106995,0.0006666666595265269,-0.004666666500270367,0.006666666828095913,0.006666666828095913,0.0033333334140479565,0.01133333332836628,5,0.0020000000000000018,0.03933333333333333
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.01494239829480648,0.007765263319015503,0.013829362578690052,0.016219032928347588,0.8306666612625122,0.8253333568572998,0.005333333276212215,-0.0020000000949949026,0.012666666880249977,0.012000000104308128,0.006666666828095913,0.017999999225139618,5,0.009333333333333416,0.051333333333333335
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.03441591560840607,0.022535741329193115,0.03251983970403671,0.03636074811220169,0.8306666612625122,0.8186666369438171,0.012000000104308128,0.0033333334140479565,0.02266666665673256,0.024000000208616257,0.01733333244919777,0.03200000151991844,5,0.012666666666666715,0.08733333333333333
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.12167256325483322,0.09469455480575562,0.11702091246843338,0.12677620351314545,0.8306666612625122,0.7979999780654907,0.03266666829586029,0.018666666001081467,0.04800000041723251,0.05666666850447655,0.04600000008940697,0.07000000029802322,5,0.04133333333333333,0.14266666666666666
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.3016416132450104,0.26997503638267517,0.29342207312583923,0.3104168176651001,0.8306666612625122,0.6853333115577698,0.14533333480358124,0.12466666847467422,0.16733333468437195,0.1733333319425583,0.15533334016799927,0.1926666647195816,5,0.14066666666666672,0.2966666666666667
solarization,solarization-low,appearance,curve,low,0.13824646174907684,0.11121994256973267,0.1329098790884018,0.14361238479614258,0.8306666612625122,0.7706666588783264,0.05999999865889549,0.04333333298563957,0.07666666805744171,0.0833333358168602,0.07000000029802322,0.09733333438634872,5,0.05800000000000005,0.17533333333333334
solarization,solarization-mid,appearance,curve,mid,0.12262077629566193,0.10093674063682556,0.1180921420454979,0.12727531790733337,0.8306666612625122,0.7846666574478149,0.04600000008940697,0.029999999329447746,0.06201668083667755,0.06866666674613953,0.05533333495259285,0.08266666531562805,5,0.04733333333333334,0.16533333333333333
solarization,solarization-high,appearance,curve,high,0.3414306640625,0.32185205817222595,0.33399248123168945,0.3485645055770874,0.8306666612625122,0.6240000128746033,0.20666666328907013,0.1846500039100647,0.23000000417232513,0.23133333027362823,0.20999999344348907,0.2526833415031433,5,0.20066666666666666,0.36466666666666664
