perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
freeze_tail,freeze-tail-low,motion,curve,low,0.003367853816598654,0.0028606951236724854,0.0032244909089058638,0.003519905498251319,0.3440000116825104,0.33133333921432495,0.012666666880249977,0.004000000189989805,0.02133333310484886,0.023333333432674408,0.015983333811163902,0.030683349817991257,5,0.0020000000000000018,0.20733333333333334
freeze_tail,freeze-tail-mid,motion,curve,mid,0.05477640777826309,0.046196311712265015,0.05279182642698288,0.0568394735455513,0.3440000116825104,0.30666667222976685,0.03733333200216293,0.018666666001081467,0.0573333315551281,0.09600000083446503,0.0820000022649765,0.11133333295583725,5,0.082,0.7153333333333334
freeze_tail,freeze-tail-high,motion,curve,high,0.17214995622634888,0.14518529176712036,0.16585148870944977,0.1782079041004181,0.3440000116825104,0.20466665923595428,0.1393333375453949,0.1146666631102562,0.16466666758060455,0.20466665923595428,0.18466666340827942,0.225350022315979,5,0.12066666666666667,0.88
color_transform,color-low,appearance,curve,low,4.5783202949678525e-05,3.185868263244629e-05,4.2402843973832205e-05,5.038263770984486e-05,0.3440000116825104,0.3479999899864197,-0.004000000189989805,-0.008666666224598885,0.0,0.0013333333190530539,0.0,0.0033333334140479565,5,0.001333333333333353,0.023333333333333334
color_transform,color-mid,appearance,curve,mid,0.000603417691309005,0.0004756450653076172,0.0005722657078877091,0.0006374944350682199,0.3440000116825104,0.34333333373069763,0.0006666666595265269,-0.00800000037997961,0.009333333000540733,0.013333333656191826,0.00800000037997961,0.019333332777023315,5,-0.0006666666666666488,0.10066666666666667
color_transform,color-high,appearance,curve,high,0.0055218711495399475,0.00451698899269104,0.005317790433764458,0.005730368662625551,0.3440000116825104,0.3253333270549774,0.018666666001081467,0.004650000017136335,0.03400000184774399,0.05066666752099991,0.03999999910593033,0.06266666948795319,5,0.0006666666666666765,0.276
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.009170223027467728,0.006024867296218872,0.008696133270859718,0.009664561599493027,0.3440000116825104,0.3253333270549774,0.018666666001081467,0.005333333276212215,0.030016683042049408,0.03999999910593033,0.029999999329447746,0.04933333396911621,5,0.0020000000000000018,0.30466666666666664
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.37909996509552,0.3397708237171173,0.3674597144126892,0.3908405900001526,0.3440000116825104,0.24066667258739471,0.10333333164453506,0.0806666687130928,0.12733332812786102,0.16599999368190765,0.14731667935848236,0.18533332645893097,5,0.10066666666666667,0.882
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.01121735479682684,0.008863180875778198,0.010756698437035084,0.01172126829624176,0.3440000116825104,0.3199999928474426,0.024000000208616257,0.008666666224598885,0.03733333200216293,0.05400000140070915,0.04266666620969772,0.06466666609048843,5,0.0020000000000000018,0.314
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.022870538756251335,0.01792919635772705,0.021900417283177376,0.02383282221853733,0.3440000116825104,0.3153333365917206,0.02866666577756405,0.01133333332836628,0.04600000008940697,0.07400000095367432,0.06066666543483734,0.08733333647251129,5,0.013333333333333336,0.4086666666666667
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.0484330952167511,0.03874137997627258,0.0466814748942852,0.05015891045331955,0.3440000116825104,0.2786666750907898,0.06533333659172058,0.04466666653752327,0.08535001426935196,0.11999999731779099,0.10333333164453506,0.1366833597421646,5,0.023333333333333345,0.5306666666666666
solarization,solarization-low,appearance,curve,low,0.03846162557601929,0.030148416757583618,0.03678220137953758,0.040016647428274155,0.3440000116825104,0.2933333218097687,0.05066666752099991,0.03266666829586029,0.07066666334867477,0.09933333098888397,0.08399999886751175,0.11468334496021271,5,0.020666666666666667,0.4593333333333333
solarization,solarization-mid,appearance,curve,mid,0.0234436746686697,0.015999019145965576,0.022368747740983963,0.024625690653920174,0.3440000116825104,0.3086666762828827,0.03533333167433739,0.017999999225139618,0.0533333346247673,0.07533333450555801,0.06131666526198387,0.08933333307504654,5,0.008666666666666684,0.384
solarization,solarization-high,appearance,curve,high,0.06922992318868637,0.0624331533908844,0.06761918216943741,0.07108785212039948,0.3440000116825104,0.24666666984558105,0.09733333438634872,0.07533333450555801,0.12133333086967468,0.15266667306423187,0.1353333294391632,0.170683354139328,5,0.03,0.6073333333333333
