perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.18604455888271332,0.16338330507278442,0.18017578125,0.19250555336475372,0.9206666946411133,0.8446666598320007,0.07599999755620956,0.06133333221077919,0.09333333373069763,0.08933333307504654,0.07466666400432587,0.10533333569765091,5,0.1246666666666667,0.21266666666666667
freeze_tail,freeze-tail-low,motion,curve,low,0.030775556340813637,0.026189297437667847,0.029613981023430824,0.031899817287921906,0.9206666946411133,0.9046666622161865,0.01600000075995922,0.006666666828095913,0.025350017473101616,0.026000000536441803,0.017999999225139618,0.03400000184774399,5,0.014666666666666717,0.06333333333333334
freeze_tail,freeze-tail-mid,motion,curve,mid,0.08891464024782181,0.081165611743927,0.08630354702472687,0.09149714559316635,0.9206666946411133,0.8880000114440918,0.03266666829586029,0.02133333310484886,0.04401668161153793,0.04533333331346512,0.03533333167433739,0.0560000017285347,5,0.04466666666666663,0.12733333333333333
freeze_tail,freeze-tail-high,motion,curve,high,0.18001756072044373,0.1690138876438141,0.1748487800359726,0.18486347794532776,0.9206666946411133,0.8500000238418579,0.07066666334867477,0.0560000017285347,0.08668334782123566,0.08666666597127914,0.07333333045244217,0.10133333504199982,5,0.16466666666666663,0.2653333333333333
color_transform,color-low,appearance,curve,low,6.035466867615469e-05,4.369020462036133e-05,5.72098906559404e-05,6.363784632412717e-05,0.9206666946411133,0.9200000166893005,0.0006666666595265269,0.0,0.0020000000949949026,0.0006666666595265269,0.0,0.0020000000949949026,5,0.0013333333333332975,0.0033333333333333335
color_transform,color-mid,appearance,curve,mid,0.0013572112657129765,0.0010919272899627686,0.0013050882844254375,0.0014140871353447437,0.9206666946411133,0.9193333387374878,0.0013333333190530539,-0.0020000000949949026,0.004666666500270367,0.0026666666381061077,0.0006666666595265269,0.005333333276212215,5,0.002666666666666706,0.012666666666666666
color_transform,color-high,appearance,curve,high,0.013334034942090511,0.010426998138427734,0.012802299112081528,0.013895394280552864,0.9206666946411133,0.9079999923706055,0.012666666880249977,0.006000000052154064,0.019333332777023315,0.015333333052694798,0.009333333000540733,0.021350016817450523,5,0.010000000000000009,0.042
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.024945873767137527,0.010645359754562378,0.023138942196965218,0.026813875883817673,0.9206666946411133,0.9026666879653931,0.017999999225139618,0.009333333000540733,0.0273333340883255,0.024000000208616257,0.01666666753590107,0.03200000151991844,5,0.02400000000000002,0.059333333333333335
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.03699248284101486,0.018720299005508423,0.03449097275733948,0.03964071720838547,0.9206666946411133,0.9013333320617676,0.019333332777023315,0.01066666655242443,0.02800000086426735,0.024666666984558105,0.01666666753590107,0.03266666829586029,5,0.01666666666666672,0.058
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.12705712020397186,0.08784759044647217,0.1206783577799797,0.13301067054271698,0.9206666946411133,0.8206666707992554,0.10000000149011612,0.08331666886806488,0.11733333021402359,0.1106666699051857,0.09399999678134918,0.12735001742839813,5,0.10999999999999999,0.182
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.308102548122406,0.28725406527519226,0.2992885112762451,0.317291796207428,0.9206666946411133,0.5953333377838135,0.3253333270549774,0.30133333802223206,0.34933334589004517,0.335999995470047,0.31264999508857727,0.359333336353302,5,0.3393333333333334,0.43466666666666665
solarization,solarization-low,appearance,curve,low,0.16947662830352783,0.13605639338493347,0.16268576681613922,0.17657583951950073,0.9206666946411133,0.7519999742507935,0.16866666078567505,0.14933332800865173,0.18933333456516266,0.17933332920074463,0.16064999997615814,0.1993500292301178,5,0.16866666666666663,0.248
solarization,solarization-mid,appearance,curve,mid,0.1882617175579071,0.15827450156211853,0.18172718584537506,0.1955745816230774,0.9206666946411133,0.7086666822433472,0.21199999749660492,0.19131667912006378,0.2346833497285843,0.2226666659116745,0.2026500105857849,0.24401669204235077,5,0.19733333333333336,0.278
solarization,solarization-high,appearance,curve,high,0.34667786955833435,0.3392476439476013,0.3393799066543579,0.35431501269340515,0.9206666946411133,0.5046666860580444,0.41600000858306885,0.39133334159851074,0.4440000057220459,0.4273333251476288,0.40398335456848145,0.45399999618530273,5,0.4206666666666667,0.5173333333333333
