perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
freeze_tail,freeze-tail-low,motion,curve,low,0.0006670360453426838,0.00025072693824768066,0.000603054475504905,0.0007296427502296865,0.4633333384990692,0.4740000069141388,-0.01066666655242443,-0.019999999552965164,-0.0006666666595265269,0.013333333656191826,0.00800000037997961,0.019333332777023315,5,0.0013333333333333253,0.29333333333333333
freeze_tail,freeze-tail-mid,motion,curve,mid,0.0033309278078377247,0.0017079412937164307,0.0030642664059996605,0.0036081213038414717,0.4633333384990692,0.44866666197776794,0.014666666276752949,0.0006666666595265269,0.030666666105389595,0.05066666752099991,0.03999999910593033,0.06266666948795319,5,0.001999999999999974,0.544
freeze_tail,freeze-tail-high,motion,curve,high,0.00874377228319645,0.005129635334014893,0.008137335069477558,0.009365114383399487,0.4633333384990692,0.4206666648387909,0.04266666620969772,0.024000000208616257,0.06266666948795319,0.09466666728258133,0.0793333351612091,0.1106666699051857,5,0.025999999999999995,0.6966666666666667
color_transform,color-low,appearance,curve,low,1.9392173271626234e-06,1.2516975402832031e-06,1.7071197362383828e-06,2.2862993773742346e-06,0.4633333384990692,0.4620000123977661,0.0013333333190530539,0.0,0.0033333334140479565,0.0013333333190530539,0.0,0.0033333334140479565,5,-0.0006666666666666765,0.02
color_transform,color-mid,appearance,curve,mid,3.972808553953655e-05,3.1441450119018555e-05,3.7679816159652546e-05,4.229753903928213e-05,0.4633333384990692,0.46000000834465027,0.0033333334140479565,-0.004666666500270367,0.012000000104308128,0.014666666276752949,0.009333333000540733,0.02133333310484886,5,0.0013333333333333253,0.07866666666666666
color_transform,color-high,appearance,curve,high,0.0003557165327947587,0.0002937614917755127,0.00034317298559471965,0.000369087269064039,0.4633333384990692,0.44333332777023315,0.019999999552965164,0.006666666828095913,0.03400000184774399,0.046666666865348816,0.036666665226221085,0.0573333315551281,5,0.010666666666666658,0.20533333333333334
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.0026342137716710567,0.0017243921756744385,0.0024768782313913107,0.00279317912645638,0.4633333384990692,0.42266666889190674,0.04066666588187218,0.02666666731238365,0.0573333315551281,0.06599999964237213,0.053983334451913834,0.0793333351612091,5,0.01533333333333331,0.538
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.018171697854995728,0.008147090673446655,0.016988083720207214,0.019328873604536057,0.4633333384990692,0.312666654586792,0.15066666901111603,0.12931667268276215,0.17466667294502258,0.1966666728258133,0.17800000309944153,0.21666666865348816,5,0.017999999999999988,0.676
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.003388871205970645,0.0021953582763671875,0.003198830643668771,0.0035794763825833797,0.4633333384990692,0.3766666650772095,0.08666666597127914,0.06599999964237213,0.10733333230018616,0.12999999523162842,0.11266666650772095,0.14733333885669708,5,0.02533333333333332,0.5473333333333333
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.009375320747494698,0.007106989622116089,0.008975489065051079,0.009792772121727467,0.4633333384990692,0.2746666669845581,0.1886666715145111,0.1653333306312561,0.21466666460037231,0.23266667127609253,0.21133333444595337,0.25466665625572205,5,0.051333333333333314,0.7346666666666667
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.019081005826592445,0.015864789485931396,0.01845134235918522,0.01976555585861206,0.4633333384990692,0.19066666066646576,0.27266666293144226,0.24598334729671478,0.2993333339691162,0.30666667222976685,0.28333333134651184,0.3319999873638153,5,0.09066666666666666,0.8366666666666667
solarization,solarization-low,appearance,curve,low,0.005862094461917877,0.0039223432540893555,0.0055444082245230675,0.006229612976312637,0.4633333384990692,0.34466665983200073,0.11866666376590729,0.09600000083446503,0.1420000046491623,0.15933333337306976,0.14133332669734955,0.17733334004878998,5,0.043999999999999984,0.606
solarization,solarization-mid,appearance,curve,mid,0.006949656177312136,0.005154043436050415,0.006584554444998503,0.007354913745075464,0.4633333384990692,0.3166666626930237,0.14666666090488434,0.12331666797399521,0.1706666648387909,0.1913333386182785,0.1720000058412552,0.21266666054725647,5,0.043999999999999984,0.652
solarization,solarization-high,appearance,curve,high,0.014112252742052078,0.011845439672470093,0.01362279150635004,0.014670354314148426,0.4633333384990692,0.21933333575725555,0.24400000274181366,0.218666672706604,0.27133333683013916,0.28600001335144043,0.2626666724681854,0.31068336963653564,5,0.07599999999999998,0.798
