perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
freeze_tail,freeze-tail-low,motion,curve,low,0.01941130869090557,0.013600558042526245,0.018337802961468697,0.02053302712738514,0.7260000109672546,0.7039999961853027,0.02199999988079071,0.00931666698306799,0.035999998450279236,0.04600000008940697,0.03533333167433739,0.05666666850447655,5,0.01200000000000001,0.2886666666666667
freeze_tail,freeze-tail-mid,motion,curve,mid,0.04500594735145569,0.0353035032749176,0.04331197962164879,0.04677081108093262,0.7260000109672546,0.6946666836738586,0.03133333474397659,0.01665000058710575,0.046666666865348816,0.06666667014360428,0.05533333495259285,0.07999999821186066,5,0.016000000000000014,0.37133333333333335
freeze_tail,freeze-tail-high,motion,curve,high,0.09540808200836182,0.08322963118553162,0.09291267395019531,0.0982673242688179,0.7260000109672546,0.6299999952316284,0.09600000083446503,0.07598333060741425,0.11533333361148834,0.1353333294391632,0.11933333426713943,0.15199999511241913,5,0.03733333333333333,0.462
color_transform,color-low,appearance,curve,low,4.9139856855617836e-05,4.079937934875488e-05,4.741385055240244e-05,5.115530439070426e-05,0.7260000109672546,0.7239999771118164,0.0020000000949949026,-0.0013333333190530539,0.006000000052154064,0.004000000189989805,0.0013333333190530539,0.007333333138376474,5,0.0,0.016
color_transform,color-mid,appearance,curve,mid,0.0008426896529272199,0.0007349848747253418,0.0008217267459258437,0.0008658287697471678,0.7260000109672546,0.722000002861023,0.004000000189989805,-0.0020000000949949026,0.01066666655242443,0.009999999776482582,0.005333333276212215,0.01600000075995922,5,0.0,0.08533333333333333
color_transform,color-high,appearance,curve,high,0.009452958591282368,0.008182138204574585,0.009202700108289719,0.009725108742713928,0.7260000109672546,0.7166666388511658,0.009333333000540733,-0.0020000000949949026,0.020666666328907013,0.03133333474397659,0.023333333432674408,0.04068334773182869,5,-0.0033333333333332993,0.20733333333333334
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.09768954664468765,0.09399652481079102,0.09515845030546188,0.10021761059761047,0.7260000109672546,0.6746666431427002,0.05133333429694176,0.03398333489894867,0.06735001504421234,0.08933333307504654,0.07599999755620956,0.10333333164453506,5,0.10666666666666669,0.5426666666666666
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.08560843020677567,0.07964128255844116,0.08369164913892746,0.08761218935251236,0.7260000109672546,0.515999972820282,0.20999999344348907,0.18733333051204681,0.2333500236272812,0.23933333158493042,0.21798333525657654,0.2606666684150696,5,0.09333333333333332,0.46066666666666667
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.018836311995983124,0.014838635921478271,0.018006952479481697,0.019607804715633392,0.7260000109672546,0.7179999947547913,0.00800000037997961,-0.0040166666731238365,0.019999999552965164,0.03533333167433739,0.026000000536441803,0.04466666653752327,5,0.0,0.26266666666666666
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.05312592163681984,0.047152936458587646,0.051404740661382675,0.05471494793891907,0.7260000109672546,0.6646666526794434,0.06133333221077919,0.0439833328127861,0.07868334650993347,0.09733333438634872,0.0820000022649765,0.1133333370089531,5,0.03733333333333333,0.38
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.11541038751602173,0.1079137921333313,0.11292074620723724,0.11775465309619904,0.7260000109672546,0.5566666722297668,0.1693333387374878,0.14465001225471497,0.19200000166893005,0.20733332633972168,0.18665000796318054,0.22733333706855774,5,0.11533333333333334,0.5206666666666667
solarization,solarization-low,appearance,curve,low,0.047898322343826294,0.04145905375480652,0.046288758516311646,0.0496382936835289,0.7260000109672546,0.6606666445732117,0.06533333659172058,0.048650000244379044,0.0820000022649765,0.09533333033323288,0.08133333176374435,0.11001668125391006,5,0.055333333333333345,0.396
solarization,solarization-mid,appearance,curve,mid,0.04700668156147003,0.04222303628921509,0.04556995630264282,0.04852272570133209,0.7260000109672546,0.6506666541099548,0.07533333450555801,0.058666665107011795,0.09266666322946548,0.10266666859388351,0.08799999952316284,0.11866666376590729,5,0.0626666666666667,0.39866666666666667
solarization,solarization-high,appearance,curve,high,0.09661224484443665,0.09003394842147827,0.0945742204785347,0.09870564192533493,0.7260000109672546,0.5440000295639038,0.18199999630451202,0.1586500108242035,0.20668335258960724,0.21266666054725647,0.1913333386182785,0.2346833497285843,5,0.13866666666666666,0.5526666666666666
