perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,3.794828984382548e-08,0.0,3.524621305928122e-08,4.084904858814298e-08,0.29733332991600037,0.29733332991600037,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
freeze_tail,freeze-tail-low,motion,curve,low,0.00289666885510087,0.0016747117042541504,0.00271509843878448,0.003085602540522814,0.29733332991600037,0.2993333339691162,-0.0020000000949949026,-0.00800000037997961,0.004000000189989805,0.006666666828095913,0.0026666666381061077,0.010683349333703518,5,0.0006666666666666765,0.08466666666666667
freeze_tail,freeze-tail-mid,motion,curve,mid,0.020853504538536072,0.013448148965835571,0.019792139530181885,0.022039102390408516,0.29733332991600037,0.2919999957084656,0.005333333276212215,-0.005333333276212215,0.017999999225139618,0.02866666577756405,0.020666666328907013,0.03799999877810478,5,-0.0013333333333333253,0.21133333333333335
freeze_tail,freeze-tail-high,motion,curve,high,0.05514033883810043,0.03741970658302307,0.052383627742528915,0.058008309453725815,0.29733332991600037,0.27666667103767395,0.020666666328907013,0.007983334362506866,0.03466666489839554,0.05000000074505806,0.03999999910593033,0.06066666543483734,5,0.007333333333333331,0.3413333333333333
color_transform,color-low,appearance,curve,low,6.195783498696983e-05,4.3511390686035156e-05,5.893636625842191e-05,6.499006849480793e-05,0.29733332991600037,0.2980000078678131,-0.0006666666595265269,-0.0020000000949949026,0.0,0.0,0.0,0.0,5,0.0,0.015333333333333332
color_transform,color-mid,appearance,curve,mid,0.0008359329076483846,0.0006528794765472412,0.0008058137609623373,0.0008672301191836596,0.29733332991600037,0.29866665601730347,-0.0013333333190530539,-0.004666666500270367,0.0020000000949949026,0.0020000000949949026,0.0,0.004666666500270367,5,-0.0006666666666666488,0.059333333333333335
color_transform,color-high,appearance,curve,high,0.007709059864282608,0.006421595811843872,0.007456422317773104,0.007960837334394455,0.29733332991600037,0.3019999861717224,-0.004666666500270367,-0.012666666880249977,0.0033333334140479565,0.01133333332836628,0.006666666828095913,0.01733333244919777,5,0.0,0.14
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.04830054193735123,0.04009672999382019,0.04668950289487839,0.049982186406850815,0.29733332991600037,0.2906666696071625,0.006666666828095913,-0.006000000052154064,0.019350016489624977,0.03733333200216293,0.02800000086426735,0.047333333641290665,5,0.01200000000000001,0.336
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.05808556079864502,0.04215523600578308,0.05549519881606102,0.06079639121890068,0.29733332991600037,0.2933333218097687,0.004000000189989805,-0.009333333000540733,0.017999999225139618,0.04066666588187218,0.03133333474397659,0.05135001614689827,5,-0.004666666666666652,0.31733333333333336
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.17023766040802002,0.1353292167186737,0.16385018825531006,0.17606161534786224,0.29733332991600037,0.25999999046325684,0.03733333200216293,0.019333332777023315,0.05533333495259285,0.08399999886751175,0.07000000029802322,0.09866666793823242,5,0.02200000000000002,0.5
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.39743608236312866,0.376188725233078,0.3884239196777344,0.4063669741153717,0.29733332991600037,0.18266665935516357,0.1146666631102562,0.09200000017881393,0.13868334889411926,0.16333332657814026,0.1446666717529297,0.18266665935516357,5,0.068,0.732
solarization,solarization-low,appearance,curve,low,0.14686258137226105,0.12283524870872498,0.14099834859371185,0.15255102515220642,0.29733332991600037,0.2666666805744171,0.030666666105389595,0.01066666655242443,0.047333333641290665,0.07400000095367432,0.059333331882953644,0.08733333647251129,5,0.016000000000000014,0.44866666666666666
solarization,solarization-mid,appearance,curve,mid,0.12474975734949112,0.1071435809135437,0.12061645090579987,0.12896104156970978,0.29733332991600037,0.2840000092983246,0.013333333656191826,-0.0013333333190530539,0.030666666105389595,0.05999999865889549,0.047983333468437195,0.07201667875051498,5,0.013333333333333336,0.462
solarization,solarization-high,appearance,curve,high,0.35416316986083984,0.3451586663722992,0.34730207920074463,0.3612876236438751,0.29733332991600037,0.21199999749660492,0.08533333241939545,0.06199999898672104,0.10866666585206985,0.14399999380111694,0.12533333897590637,0.16333332657814026,5,0.04600000000000001,0.7013333333333334
