perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.40978503227233887,0.3776368498802185,0.39994558691978455,0.4195675551891327,0.3933333456516266,0.14399999380111694,0.24933333694934845,0.2240000069141388,0.2759999930858612,0.28466665744781494,0.2619999945163727,0.3073333203792572,5,0.19866666666666666,0.8846666666666667
freeze_tail,freeze-tail-low,motion,curve,low,0.006977239158004522,0.005433589220046997,0.00671941926702857,0.007265150547027588,0.3933333456516266,0.37466666102409363,0.018666666001081467,0.006000000052154064,0.030666666105389595,0.03799999877810478,0.02800000086426735,0.04800000041723251,5,0.013333333333333308,0.2
freeze_tail,freeze-tail-mid,motion,curve,mid,0.14516830444335938,0.13166716694831848,0.14127744734287262,0.14908984303474426,0.3933333456516266,0.2800000011920929,0.1133333370089531,0.08933333307504654,0.1380166858434677,0.1626666635274887,0.1433333307504654,0.18333333730697632,5,0.15866666666666665,0.7593333333333333
freeze_tail,freeze-tail-high,motion,curve,high,0.39631110429763794,0.3705669045448303,0.3870566189289093,0.40645527839660645,0.3933333456516266,0.0860000029206276,0.3073333203792572,0.27931666374206543,0.33399999141693115,0.3306666612625122,0.3066500127315521,0.35600000619888306,5,0.27399999999999997,0.9453333333333334
color_transform,color-low,appearance,curve,low,4.572860416374169e-05,3.147125244140625e-05,4.303113746573217e-05,4.864436050411314e-05,0.3933333456516266,0.39266666769981384,0.0006666666595265269,0.0,0.0020000000949949026,0.0006666666595265269,0.0,0.0020000000949949026,5,0.0013333333333332975,0.016666666666666666
color_transform,color-mid,appearance,curve,mid,0.0009833365911617875,0.0007505416870117188,0.0009417205583304167,0.001027433667331934,0.3933333456516266,0.39266666769981384,0.0006666666595265269,-0.005349999759346247,0.006666666828095913,0.00800000037997961,0.0033333334140479565,0.012666666880249977,5,0.0,0.098
color_transform,color-high,appearance,curve,high,0.008839364163577557,0.007301986217498779,0.008532613515853882,0.009150068275630474,0.3933333456516266,0.3813333213329315,0.012000000104308128,0.0020000000949949026,0.021350016817450523,0.024666666984558105,0.01733333244919777,0.03266666829586029,5,0.0040000000000000036,0.26
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.021687326952815056,0.020172983407974243,0.021174971014261246,0.0221872515976429,0.3933333456516266,0.38199999928474426,0.01133333332836628,-0.0033333334140479565,0.024666666984558105,0.04399999976158142,0.03400000184774399,0.054666668176651,5,0.01799999999999996,0.31333333333333335
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.021910222247242928,0.01911473274230957,0.021222861483693123,0.022641099989414215,0.3933333456516266,0.37533333897590637,0.017999999225139618,0.0026666666381061077,0.03200000151991844,0.04866666719317436,0.03866666555404663,0.05999999865889549,5,0.009999999999999953,0.3333333333333333
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.04411489516496658,0.037037551403045654,0.04264449328184128,0.04551856592297554,0.3933333456516266,0.3606666624546051,0.03266666829586029,0.014666666276752949,0.048683349043130875,0.07333333045244217,0.06066666543483734,0.08733333647251129,5,0.03199999999999997,0.4206666666666667
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.09008321166038513,0.07758256793022156,0.08733005821704865,0.09269130229949951,0.3933333456516266,0.3140000104904175,0.0793333351612091,0.058666665107011795,0.10000000149011612,0.12200000137090683,0.10598333179950714,0.13868334889411926,5,0.045999999999999985,0.5406666666666666
solarization,solarization-low,appearance,curve,low,0.08040481060743332,0.06878063082695007,0.07745759934186935,0.08354446291923523,0.3933333456516266,0.29466667771339417,0.09866666793823242,0.07866666465997696,0.11999999731779099,0.1366666704416275,0.11933333426713943,0.15533334016799927,5,0.03733333333333333,0.45066666666666666
solarization,solarization-mid,appearance,curve,mid,0.03285122290253639,0.02395448088645935,0.03152354434132576,0.03415512293577194,0.3933333456516266,0.36266666650772095,0.030666666105389595,0.01398333441466093,0.04935001581907272,0.07000000029802322,0.057999998331069946,0.0846666693687439,5,0.009333333333333305,0.35
solarization,solarization-high,appearance,curve,high,0.11279962956905365,0.10449481010437012,0.11024143546819687,0.11542796343564987,0.3933333456516266,0.2966666519641876,0.09666666388511658,0.07466666400432587,0.11933333426713943,0.14800000190734863,0.1299833357334137,0.1666833609342575,5,0.043999999999999984,0.5573333333333333
