perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.22183437645435333,0.2049298882484436,0.21657171845436096,0.22735098004341125,0.33933332562446594,0.1340000033378601,0.20533333718776703,0.18131667375564575,0.2280000001192093,0.23333333432674408,0.2106500118970871,0.2540000081062317,5,0.08533333333333334,0.728
freeze_tail,freeze-tail-low,motion,curve,low,0.04260170832276344,0.03838801383972168,0.04131299629807472,0.043829213827848434,0.33933332562446594,0.30533334612846375,0.03400000184774399,0.01733333244919777,0.05000000074505806,0.06933332979679108,0.0560000017285347,0.0820000022649765,5,0.009333333333333332,0.42
freeze_tail,freeze-tail-mid,motion,curve,mid,0.12043344974517822,0.1120712161064148,0.1178697794675827,0.12314054369926453,0.33933332562446594,0.2433333396911621,0.09600000083446503,0.07400000095367432,0.11668334901332855,0.14000000059604645,0.12266666442155838,0.15735001862049103,5,0.036000000000000004,0.5733333333333334
freeze_tail,freeze-tail-high,motion,curve,high,0.2296980619430542,0.21988674998283386,0.22575578093528748,0.23421114683151245,0.33933332562446594,0.14533333480358124,0.1940000057220459,0.16798333823680878,0.2160000056028366,0.23000000417232513,0.20800000429153442,0.25,5,0.08933333333333333,0.734
color_transform,color-low,appearance,curve,low,9.482343739364296e-05,7.24494457244873e-05,9.066133497981355e-05,9.896095434669405e-05,0.33933332562446594,0.3413333296775818,-0.0020000000949949026,-0.005333333276212215,0.0013333333190530539,0.0013333333190530539,0.0,0.0033333334140479565,5,-0.0026666666666666505,0.038
color_transform,color-mid,appearance,curve,mid,0.0020139601547271013,0.0016649961471557617,0.0019443394849076867,0.0020792970899492502,0.33933332562446594,0.3386666774749756,0.0006666666595265269,-0.006666666828095913,0.0073500159196555614,0.009999999776482582,0.005333333276212215,0.014666666276752949,5,-0.0013333333333333253,0.12866666666666668
color_transform,color-high,appearance,curve,high,0.018532266840338707,0.015332460403442383,0.017895711585879326,0.019137799739837646,0.33933332562446594,0.33399999141693115,0.005333333276212215,-0.0060166665352880955,0.01733333244919777,0.02866666577756405,0.020666666328907013,0.03799999877810478,5,-0.010666666666666658,0.334
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.07613886147737503,0.06990227103233337,0.07420743256807327,0.07813484221696854,0.33933332562446594,0.3386666774749756,0.0006666666595265269,-0.01600000075995922,0.019999999552965164,0.06466666609048843,0.052666667848825455,0.07733333110809326,5,-0.011333333333333334,0.524
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.08466973155736923,0.06090208888053894,0.08085238933563232,0.08878560364246368,0.33933332562446594,0.30533334612846375,0.03400000184774399,0.01600000075995922,0.05001668259501457,0.0793333351612091,0.06599999964237213,0.09266666322946548,5,0.0013333333333333253,0.514
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.22432763874530792,0.20897060632705688,0.2178388237953186,0.2307375818490982,0.33933332562446594,0.2473333328962326,0.09200000017881393,0.06733333319425583,0.1133500188589096,0.15399999916553497,0.13333334028720856,0.17133332788944244,5,0.05666666666666667,0.7413333333333333
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.40879926085472107,0.41418585181236267,0.4022934138774872,0.41566002368927,0.33933332562446594,0.17000000178813934,0.1693333387374878,0.14133332669734955,0.19333332777023315,0.23000000417232513,0.20800000429153442,0.2500166893005371,5,0.11733333333333335,0.888
solarization,solarization-low,appearance,curve,low,0.19760924577713013,0.18611988425254822,0.19098155200481415,0.20407012104988098,0.33933332562446594,0.25733333826065063,0.0820000022649765,0.05999999865889549,0.10199999809265137,0.1379999965429306,0.11933333426713943,0.15466666221618652,5,0.06266666666666668,0.7046666666666667
solarization,solarization-mid,appearance,curve,mid,0.18445900082588196,0.1728678047657013,0.17897069454193115,0.18990996479988098,0.33933332562446594,0.27666667103767395,0.06266666948795319,0.04064999893307686,0.08399999886751175,0.13333334028720856,0.11599999666213989,0.1500166952610016,5,0.03533333333333333,0.7106666666666667
solarization,solarization-high,appearance,curve,high,0.3460814952850342,0.3391824960708618,0.34068629145622253,0.3518734574317932,0.33933332562446594,0.18133333325386047,0.15800000727176666,0.13199999928474426,0.18201668560504913,0.21933333575725555,0.19798333942890167,0.23933333158493042,5,0.11066666666666668,0.884
