perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.0230212714523077,0.013152748346328735,0.021699577569961548,0.02445681206882,0.2460000067949295,0.06599999964237213,0.18000000715255737,0.15800000727176666,0.20200000703334808,0.20266667008399963,0.18266665935516357,0.22201669216156006,5,0.04599999999999999,0.826
freeze_tail,freeze-tail-low,motion,curve,low,0.0010385859059169888,0.0005404949188232422,0.0009584773797541857,0.0011197057319805026,0.2460000067949295,0.22466666996479034,0.02133333310484886,0.008666666224598885,0.03400000184774399,0.041999999433755875,0.03266666829586029,0.0533333346247673,5,0.01266666666666666,0.35
freeze_tail,freeze-tail-mid,motion,curve,mid,0.004983745981007814,0.0029893815517425537,0.004657945595681667,0.00533163920044899,0.2460000067949295,0.18933333456516266,0.05666666850447655,0.03866666555404663,0.07535001635551453,0.09266666322946548,0.07800000160932541,0.10868334770202637,5,0.03599999999999999,0.6426666666666667
freeze_tail,freeze-tail-high,motion,curve,high,0.012560552917420864,0.008215606212615967,0.011856808327138424,0.01330490130931139,0.2460000067949295,0.11999999731779099,0.12600000202655792,0.10665000230073929,0.1473667025566101,0.15666666626930237,0.13865000009536743,0.17599999904632568,5,0.06266666666666666,0.8313333333333334
color_transform,color-low,appearance,curve,low,1.3695160987481358e-06,9.5367431640625e-07,1.2975107210877468e-06,1.4438123798754532e-06,0.2460000067949295,0.24400000274181366,0.0020000000949949026,-0.0006666666595265269,0.005333333276212215,0.0026666666381061077,0.0006666666595265269,0.005333333276212215,5,0.0,0.018
color_transform,color-mid,appearance,curve,mid,3.047112659260165e-05,2.6285648345947266e-05,2.955399759230204e-05,3.131029006908648e-05,0.2460000067949295,0.24533332884311676,0.0006666666595265269,-0.005333333276212215,0.006666666828095913,0.00800000037997961,0.004000000189989805,0.012000000104308128,5,0.0006666666666666626,0.07733333333333334
color_transform,color-high,appearance,curve,high,0.0002882300177589059,0.00025281310081481934,0.0002803936949931085,0.0002956876123789698,0.2460000067949295,0.23600000143051147,0.009999999776482582,0.0,0.020666666328907013,0.02666666731238365,0.018666666001081467,0.03533333167433739,5,-0.004666666666666666,0.19066666666666668
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.006473261397331953,0.006152927875518799,0.006320514716207981,0.006639524362981319,0.2460000067949295,0.21266666054725647,0.03333333507180214,0.014650000259280205,0.0533333346247673,0.08399999886751175,0.07066666334867477,0.09866666793823242,5,0.006666666666666668,0.7673333333333333
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.006634771358221769,0.004839986562728882,0.006346380803734064,0.0069127632305026054,0.2460000067949295,0.17733334004878998,0.06866666674613953,0.05066666752099991,0.08866667002439499,0.10599999874830246,0.09133332967758179,0.12200000137090683,5,0.016,0.68
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.01610957458615303,0.0139789879322052,0.01557273417711258,0.016607174649834633,0.2460000067949295,0.14533333480358124,0.10066666454076767,0.0806666687130928,0.1213500127196312,0.1393333375453949,0.12398333102464676,0.15733332931995392,5,0.02266666666666667,0.836
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.029840001836419106,0.02747035026550293,0.029103964567184448,0.03060305491089821,0.2460000067949295,0.12466666847467422,0.12133333086967468,0.10133333504199982,0.14401668310165405,0.15933333337306976,0.14133332669734955,0.1786833554506302,5,0.03533333333333333,0.904
solarization,solarization-low,appearance,curve,low,0.007163682486861944,0.004525870084762573,0.006766574457287788,0.007592974230647087,0.2460000067949295,0.18533332645893097,0.06066666543483734,0.043316666036844254,0.0793333351612091,0.09333333373069763,0.07999999821186066,0.109333336353302,5,0.010666666666666658,0.642
solarization,solarization-mid,appearance,curve,mid,0.00952007807791233,0.00614398717880249,0.008938255719840527,0.010127393528819084,0.2460000067949295,0.195333331823349,0.05066666752099991,0.03198333457112312,0.07000000029802322,0.09200000017881393,0.07866666465997696,0.10733333230018616,5,0.007999999999999993,0.7126666666666667
solarization,solarization-high,appearance,curve,high,0.018787434324622154,0.014804989099502563,0.018026379868388176,0.019570058211684227,0.2460000067949295,0.1706666648387909,0.07533333450555801,0.05665000155568123,0.09535001218318939,0.12399999797344208,0.10866666585206985,0.1420000046491623,5,0.017333333333333326,0.8666666666666667
