perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.07669823616743088,0.07249534130096436,0.07509969174861908,0.07834609597921371,0.4273333251476288,0.18733333051204681,0.23999999463558197,0.2133333384990692,0.2666666805744171,0.2746666669845581,0.25130000710487366,0.2980166971683502,5,0.06,0.6553333333333333
freeze_tail,freeze-tail-low,motion,curve,low,0.014287394471466541,0.008988916873931885,0.01354924961924553,0.01509230025112629,0.4273333251476288,0.421999990940094,0.005333333276212215,-0.009333333000540733,0.019999999552965164,0.04533333331346512,0.03533333167433739,0.05535001680254936,5,0.001999999999999974,0.36666666666666664
freeze_tail,freeze-tail-mid,motion,curve,mid,0.047763533890247345,0.04032018780708313,0.04615383595228195,0.04956349357962608,0.4273333251476288,0.3333333432674408,0.09399999678134918,0.07199999690055847,0.11666666716337204,0.14133332669734955,0.12398333102464676,0.15935002267360687,5,0.03799999999999998,0.6153333333333333
freeze_tail,freeze-tail-high,motion,curve,high,0.10464394837617874,0.0960700511932373,0.10234498977661133,0.10721203684806824,0.4273333251476288,0.19200000166893005,0.23533333837985992,0.20933333039283752,0.2626666724681854,0.28466665744781494,0.2626666724681854,0.30933332443237305,5,0.09,0.776
color_transform,color-low,appearance,curve,low,4.201269257464446e-05,3.260374069213867e-05,4.0034265111899e-05,4.4097414502175525e-05,0.4273333251476288,0.4266666769981384,0.0006666666595265269,-0.0013333333190530539,0.0026666666381061077,0.0013333333190530539,0.0,0.0033333334140479565,5,-0.0020000000000000018,0.030666666666666665
color_transform,color-mid,appearance,curve,mid,0.0008783896919339895,0.0007606148719787598,0.0008563368464820087,0.000901927996892482,0.4273333251476288,0.4273333251476288,0.0,-0.006666666828095913,0.006666666828095913,0.008666666224598885,0.004666666500270367,0.014000000432133675,5,-0.0020000000000000018,0.14333333333333334
color_transform,color-high,appearance,curve,high,0.00905817374587059,0.00808832049369812,0.008826779201626778,0.009305291809141636,0.4273333251476288,0.4339999854564667,-0.006666666828095913,-0.019333332777023315,0.006000000052154064,0.026000000536441803,0.017999999225139618,0.03466666489839554,5,-0.001333333333333353,0.348
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.1046106368303299,0.1038479208946228,0.1030699759721756,0.10617167502641678,0.4273333251476288,0.3773333430290222,0.05000000074505806,0.029983332380652428,0.07133333384990692,0.10733333230018616,0.09266666322946548,0.12399999797344208,5,0.05533333333333332,0.804
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.042195387184619904,0.038211315870285034,0.04080168902873993,0.043608490377664566,0.4273333251476288,0.40799999237060547,0.019333332777023315,0.0026666666381061077,0.035999998450279236,0.06466666609048843,0.052000001072883606,0.07668334990739822,5,0.025999999999999995,0.5966666666666667
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.07983750104904175,0.07463175058364868,0.07770074158906937,0.08202679455280304,0.4273333251476288,0.35600000619888306,0.07133333384990692,0.05066666752099991,0.09133332967758179,0.11933333426713943,0.10266666859388351,0.13600000739097595,5,0.03999999999999998,0.7113333333333334
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.1350494921207428,0.1282390058040619,0.13227656483650208,0.1377769410610199,0.4273333251476288,0.2939999997615814,0.13333334028720856,0.10864999890327454,0.15735001862049103,0.19066666066646576,0.17133332788944244,0.21201668679714203,5,0.08533333333333332,0.8246666666666667
solarization,solarization-low,appearance,curve,low,0.052572742104530334,0.04742783308029175,0.050877124071121216,0.054300349205732346,0.4273333251476288,0.3853333294391632,0.041999999433755875,0.02266666665673256,0.06333333253860474,0.10000000149011612,0.08533333241939545,0.11533333361148834,5,0.021999999999999992,0.5506666666666666
solarization,solarization-mid,appearance,curve,mid,0.042077742516994476,0.038650721311569214,0.04088945686817169,0.04331440106034279,0.4273333251476288,0.3959999978542328,0.03133333474397659,0.014000000432133675,0.04933333396911621,0.07599999755620956,0.06266666948795319,0.08933333307504654,5,0.01999999999999999,0.5393333333333333
solarization,solarization-high,appearance,curve,high,0.09318038076162338,0.08719801902770996,0.09141316264867783,0.09507329761981964,0.4273333251476288,0.33000001311302185,0.09733333438634872,0.07400000095367432,0.12066666781902313,0.15933333337306976,0.14133332669734955,0.17866666615009308,5,0.04466666666666666,0.7266666666666667
