perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,3.202756104769833e-08,0.0,2.9484430896786762e-08,3.472964138495627e-08,0.9900000095367432,0.9900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
freeze_tail,freeze-tail-low,motion,curve,low,0.0012163277715444565,0.0007463693618774414,0.001150396536104381,0.001292371074669063,0.9900000095367432,0.9886666536331177,0.0013333333190530539,0.0,0.0033333334140479565,0.0013333333190530539,0.0,0.0033333334140479565,5,0.0006666666666667043,0.0006666666666666666
freeze_tail,freeze-tail-mid,motion,curve,mid,0.008163844235241413,0.005482912063598633,0.007723324000835419,0.008622057735919952,0.9900000095367432,0.9900000095367432,0.0,-0.0020000000949949026,0.0020000000949949026,0.0006666666595265269,0.0,0.0020000000949949026,5,-0.0013333333333332975,0.004666666666666667
freeze_tail,freeze-tail-high,motion,curve,high,0.021401870995759964,0.015355169773101807,0.020398765802383423,0.022467289119958878,0.9900000095367432,0.987333357334137,0.0026666666381061077,0.0,0.006000000052154064,0.0033333334140479565,0.0006666666595265269,0.006666666828095913,5,0.0013333333333334085,0.005333333333333333
color_transform,color-low,appearance,curve,low,5.231436080066487e-05,3.725290298461914e-05,4.920974242850207e-05,5.5828499171184376e-05,0.9900000095367432,0.9900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,5,-0.0006666666666665932,0.0006666666666666666
color_transform,color-mid,appearance,curve,mid,0.0007448940305039287,0.0005314648151397705,0.0007069876883178949,0.0007809487287886441,0.9900000095367432,0.9900000095367432,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
color_transform,color-high,appearance,curve,high,0.007478476036339998,0.005478322505950928,0.007119922433048487,0.00785124208778143,0.9900000095367432,0.9879999756813049,0.0020000000949949026,0.0,0.004666666500270367,0.0020000000949949026,0.0,0.004666666500270367,5,-0.0006666666666665932,0.004666666666666667
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.03937322646379471,0.0313565731048584,0.037947021424770355,0.04093167185783386,0.9900000095367432,0.9879999756813049,0.0020000000949949026,-0.0013333333190530539,0.006000000052154064,0.004000000189989805,0.0013333333190530539,0.007333333138376474,5,0.004666666666666708,0.01
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.021192334592342377,0.015542060136795044,0.019986653700470924,0.02241397276520729,0.9900000095367432,0.9893333315849304,0.0006666666595265269,-0.0026666666381061077,0.004000000189989805,0.0026666666381061077,0.0006500002346001565,0.0053500160574913025,5,0.0040000000000000036,0.008
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.08128691464662552,0.0634157657623291,0.07798468321561813,0.08456326276063919,0.9900000095367432,0.9786666631698608,0.01133333332836628,0.004666666500270367,0.017999999225139618,0.014000000432133675,0.00800000037997961,0.019999999552965164,5,0.008000000000000007,0.016666666666666666
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.24304766952991486,0.21421507000923157,0.23621921241283417,0.24964740872383118,0.9900000095367432,0.9253333210945129,0.06466666609048843,0.05198333412408829,0.07733333110809326,0.06666667014360428,0.05400000140070915,0.0793333351612091,5,0.03400000000000003,0.048
solarization,solarization-low,appearance,curve,low,0.11098208278417587,0.08821272850036621,0.1065942794084549,0.11562991142272949,0.9900000095367432,0.9773333072662354,0.012666666880249977,0.005333333276212215,0.019999999552965164,0.01666666753590107,0.01066666655242443,0.023333333432674408,5,0.008000000000000007,0.015333333333333332
solarization,solarization-mid,appearance,curve,mid,0.12344858795404434,0.09792432188987732,0.11887320876121521,0.1282007247209549,0.9900000095367432,0.9726666808128357,0.01733333244919777,0.009333333000540733,0.024666666984558105,0.019999999552965164,0.012666666880249977,0.026683351024985313,5,0.007333333333333414,0.016666666666666666
solarization,solarization-high,appearance,curve,high,0.31351277232170105,0.30232226848602295,0.306567519903183,0.32061371207237244,0.9900000095367432,0.8740000128746033,0.11599999666213989,0.10066666454076767,0.13333334028720856,0.11800000071525574,0.10266666859388351,0.1353333294391632,5,0.07933333333333337,0.092
