perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.3406580686569214,0.2850674092769623,0.32924309372901917,0.35205966234207153,0.8246666789054871,0.4593333303928375,0.36533331871032715,0.33865001797676086,0.3933333456516266,0.39800000190734863,0.3733166754245758,0.4233333468437195,5,0.37133333333333335,0.586
freeze_tail,freeze-tail-low,motion,curve,low,0.0032165665179491043,0.0026912689208984375,0.0030894905794411898,0.003348227124661207,0.8246666789054871,0.8180000185966492,0.006666666828095913,-0.0006666666595265269,0.014000000432133675,0.014000000432133675,0.008666666224598885,0.019999999552965164,5,0.010000000000000009,0.06666666666666667
freeze_tail,freeze-tail-mid,motion,curve,mid,0.05188983306288719,0.04480305314064026,0.05022520199418068,0.05383874475955963,0.8246666789054871,0.7073333263397217,0.11733333021402359,0.09600000083446503,0.1393333375453949,0.15533334016799927,0.13733333349227905,0.17266666889190674,5,0.2586666666666667,0.42133333333333334
freeze_tail,freeze-tail-high,motion,curve,high,0.1637020856142044,0.13937491178512573,0.15809600055217743,0.16966776549816132,0.8246666789054871,0.32733333110809326,0.4973333477973938,0.46799999475479126,0.525350034236908,0.5253333449363708,0.49933332204818726,0.5513333082199097,5,0.6546666666666667,0.8286666666666667
color_transform,color-low,appearance,curve,low,4.500381328398362e-05,3.260374069213867e-05,4.0233080653706565e-05,5.220925231697038e-05,0.8246666789054871,0.8226666450500488,0.0020000000949949026,-0.0020000000949949026,0.006000000052154064,0.004000000189989805,0.0013333333190530539,0.007333333138376474,5,0.0006666666666667043,0.006666666666666667
color_transform,color-mid,appearance,curve,mid,0.0006175263551995158,0.0004948675632476807,0.0005925652803853154,0.0006452365778386593,0.8246666789054871,0.8206666707992554,0.004000000189989805,-0.0033333334140479565,0.01133333332836628,0.012000000104308128,0.006666666828095913,0.017999999225139618,5,0.0040000000000000036,0.032
color_transform,color-high,appearance,curve,high,0.006081299390643835,0.005055546760559082,0.005881994962692261,0.006280086934566498,0.8246666789054871,0.8119999766349792,0.012666666880249977,0.0006666666595265269,0.024666666984558105,0.03400000184774399,0.025333333760499954,0.04399999976158142,5,0.014666666666666717,0.08733333333333333
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.021412305533885956,0.019540876150131226,0.020851073786616325,0.022013237699866295,0.8246666789054871,0.7746666669845581,0.05000000074505806,0.03331666812300682,0.06668335199356079,0.0793333351612091,0.06599999964237213,0.09333333373069763,5,0.03533333333333333,0.16133333333333333
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.008214869536459446,0.007160216569900513,0.007978457026183605,0.008464188314974308,0.8246666789054871,0.8119999766349792,0.012666666880249977,0.0013333333190530539,0.02401668392121792,0.03333333507180214,0.024666666984558105,0.04333333298563957,5,0.0020000000000000018,0.08133333333333333
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.017310066148638725,0.014778107404708862,0.016664722934365273,0.017980504781007767,0.8246666789054871,0.8006666898727417,0.024000000208616257,0.01066666655242443,0.03733333200216293,0.05400000140070915,0.043316666036844254,0.06533333659172058,5,0.014666666666666717,0.13066666666666665
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.04270428046584129,0.03718996047973633,0.04153868183493614,0.0437249019742012,0.8246666789054871,0.7519999742507935,0.07266666740179062,0.0533333346247673,0.09201668202877045,0.1146666631102562,0.0986500009894371,0.13135002553462982,5,0.06066666666666665,0.19866666666666666
solarization,solarization-low,appearance,curve,low,0.03690919652581215,0.027450770139694214,0.035388361662626266,0.03858423978090286,0.8246666789054871,0.7513333559036255,0.07333333045244217,0.05400000140070915,0.09200000017881393,0.11133333295583725,0.09598333388566971,0.12733332812786102,5,0.024666666666666726,0.15466666666666667
solarization,solarization-mid,appearance,curve,mid,0.02564692124724388,0.017739087343215942,0.024438416585326195,0.026825474575161934,0.8246666789054871,0.7913333177566528,0.03333333507180214,0.017999999225139618,0.04935001581907272,0.06599999964237213,0.05400000140070915,0.07866666465997696,5,0.01733333333333331,0.13333333333333333
solarization,solarization-high,appearance,curve,high,0.0747310072183609,0.06875130534172058,0.07295014709234238,0.07654498517513275,0.8246666789054871,0.6293333172798157,0.195333331823349,0.17399999499320984,0.2199999988079071,0.22333332896232605,0.20466665923595428,0.24535001814365387,5,0.11199999999999999,0.25133333333333335
