perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.16136664152145386,0.14540475606918335,0.15680603682994843,0.16617941856384277,0.9940000176429749,0.9480000138282776,0.04600000008940697,0.03533333167433739,0.0573333315551281,0.04866666719317436,0.03799999877810478,0.059333331882953644,5,0.04533333333333334,0.050666666666666665
freeze_tail,freeze-tail-low,motion,curve,low,0.028714284300804138,0.02458319067955017,0.02774207480251789,0.02990124747157097,0.9940000176429749,0.9906666874885559,0.0033333334140479565,0.0,0.006666666828095913,0.004000000189989805,0.0013333333190530539,0.007333333138376474,5,0.006666666666666599,0.008666666666666666
freeze_tail,freeze-tail-mid,motion,curve,mid,0.0865124836564064,0.08072444796562195,0.08427808433771133,0.08873642235994339,0.9940000176429749,0.984666645526886,0.009333333000540733,0.0033333334140479565,0.015333333052694798,0.01133333332836628,0.006000000052154064,0.01666666753590107,5,0.014000000000000012,0.017333333333333333
freeze_tail,freeze-tail-high,motion,curve,high,0.17655333876609802,0.17049762606620789,0.17281050980091095,0.18052035570144653,0.9940000176429749,0.9553333520889282,0.03866666555404663,0.02931666560471058,0.04866666719317436,0.04066666588187218,0.03133333474397659,0.05000000074505806,5,0.05266666666666664,0.056
color_transform,color-low,appearance,curve,low,6.029097130522132e-05,3.8295984268188477e-05,5.607799903373234e-05,6.494000263046473e-05,0.9940000176429749,0.9940000176429749,0.0,0.0,0.0,0.0,0.0,0.0,5,-0.0006666666666667043,0.0006666666666666666
color_transform,color-mid,appearance,curve,mid,0.0011803412344306707,0.0008968710899353027,0.001127486932091415,0.0012402357533574104,0.9940000176429749,0.9940000176429749,0.0,-0.0020000000949949026,0.0020000000949949026,0.0006666666595265269,0.0,0.0020000000949949026,5,-0.0006666666666667043,0.0006666666666666666
color_transform,color-high,appearance,curve,high,0.010949130170047283,0.008623123168945312,0.010504492558538914,0.011421854607760906,0.9940000176429749,0.9940000176429749,0.0,-0.0033333334140479565,0.0033333334140479565,0.0020000000949949026,0.0,0.004666666500270367,5,0.0020000000000000018,0.004
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.06082041561603546,0.05099347233772278,0.05886686220765114,0.06289992481470108,0.9940000176429749,0.9800000190734863,0.014000000432133675,0.00800000037997961,0.02133333310484886,0.01600000075995922,0.009999999776482582,0.02266666665673256,5,0.013333333333333308,0.018666666666666668
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.025028793141245842,0.015778958797454834,0.023646729066967964,0.026600519195199013,0.9940000176429749,0.9860000014305115,0.00800000037997961,0.0033333334140479565,0.013333333656191826,0.008666666224598885,0.004666666500270367,0.013333333656191826,5,0.005333333333333301,0.008
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.09556944668292999,0.07132843136787415,0.09149011969566345,0.09959622472524643,0.9940000176429749,0.9553333520889282,0.03866666555404663,0.02800000086426735,0.05000000074505806,0.041999999433755875,0.03200000151991844,0.0533333346247673,5,0.029333333333333322,0.03333333333333333
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.2559979557991028,0.2340167760848999,0.24875864386558533,0.26304811239242554,0.9940000176429749,0.8159999847412109,0.17800000309944153,0.15933333337306976,0.19866666197776794,0.18066667020320892,0.1613333374261856,0.20133332908153534,5,0.17733333333333334,0.18266666666666667
solarization,solarization-low,appearance,curve,low,0.14201265573501587,0.11891564726829529,0.13614530861377716,0.14765138924121857,0.9940000176429749,0.9313333630561829,0.06266666948795319,0.04998333379626274,0.07533333450555801,0.06533333659172058,0.052666667848825455,0.07735001295804977,5,0.05066666666666664,0.05733333333333333
solarization,solarization-mid,appearance,curve,mid,0.15562281012535095,0.13366922736167908,0.1497611701488495,0.1607624739408493,0.9940000176429749,0.918666660785675,0.07533333450555801,0.06199999898672104,0.08866667002439499,0.07800000160932541,0.06464999914169312,0.09066666662693024,5,0.055333333333333345,0.06333333333333334
solarization,solarization-high,appearance,curve,high,0.3168507218360901,0.31171783804893494,0.31021296977996826,0.32379594445228577,0.9940000176429749,0.7293333411216736,0.26466667652130127,0.24400000274181366,0.28733333945274353,0.26600000262260437,0.24533332884311676,0.28866666555404663,5,0.2666666666666666,0.2733333333333333
