perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.012222028337419033,0.0036659538745880127,0.011235576122999191,0.013251151889562607,0.8533333539962769,0.6039999723434448,0.24933333694934845,0.22466666996479034,0.27401667833328247,0.2800000011920929,0.25733333826065063,0.3019999861717224,5,0.10533333333333328,0.22066666666666668
freeze_tail,freeze-tail-low,motion,curve,low,0.0004284123133402318,0.00012919306755065918,0.0003877002454828471,0.0004763873293995857,0.8533333539962769,0.8460000157356262,0.007333333138376474,-0.0020000000949949026,0.01666666753590107,0.02133333310484886,0.014666666276752949,0.029333332553505898,5,0.009333333333333305,0.06133333333333333
freeze_tail,freeze-tail-mid,motion,curve,mid,0.002367745153605938,0.0008627176284790039,0.002139584394171834,0.002622907515615225,0.8533333539962769,0.809333324432373,0.04399999976158142,0.029333332553505898,0.058666665107011795,0.06800000369548798,0.05533333495259285,0.08133333176374435,5,0.04066666666666663,0.13866666666666666
freeze_tail,freeze-tail-high,motion,curve,high,0.006342071108520031,0.0025649964809417725,0.005806900095194578,0.006944841705262661,0.8533333539962769,0.7193333506584167,0.1340000033378601,0.11266666650772095,0.15333333611488342,0.16333332657814026,0.14531667530536652,0.18201668560504913,5,0.15333333333333332,0.284
color_transform,color-low,appearance,curve,low,1.9597212030930677e-06,1.2516975402832031e-06,1.782190793164773e-06,2.1611313059111126e-06,0.8533333539962769,0.8513333201408386,0.0020000000949949026,-0.0013333333190530539,0.005333333276212215,0.0033333334140479565,0.0006666666595265269,0.006666666828095913,5,0.0020000000000000018,0.005333333333333333
color_transform,color-mid,appearance,curve,mid,4.8263191274600103e-05,3.820657730102539e-05,4.633853313862346e-05,5.027335282647982e-05,0.8533333539962769,0.8433333039283752,0.009999999776482582,0.0033333334140479565,0.017999999225139618,0.01666666753590107,0.01066666655242443,0.023333333432674408,5,0.0,0.023333333333333334
color_transform,color-high,appearance,curve,high,0.00047753489343449473,0.00038620829582214355,0.00046218623174354434,0.000493413710501045,0.8533333539962769,0.79666668176651,0.05666666850447655,0.04266666620969772,0.07066666334867477,0.06933332979679108,0.05666666850447655,0.0820000022649765,5,0.0086666666666666,0.06266666666666666
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.009448105469346046,0.009189218282699585,0.00928155705332756,0.009602113626897335,0.8533333539962769,0.5613333582878113,0.2919999957084656,0.26733332872390747,0.3180166780948639,0.31333333253860474,0.2906666696071625,0.3373333215713501,5,0.252,0.416
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.0030975027475506067,0.0023678243160247803,0.002973758615553379,0.00321511784568429,0.8533333539962769,0.7239999771118164,0.12933333218097687,0.1106666699051857,0.14866666495800018,0.15000000596046448,0.13199999928474426,0.16733333468437195,5,0.05399999999999994,0.18733333333333332
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.00838034600019455,0.007323086261749268,0.008139080367982388,0.008620723150670528,0.8533333539962769,0.5120000243186951,0.3413333296775818,0.3140000104904175,0.3673500120639801,0.35733333230018616,0.33133333921432495,0.38068336248397827,5,0.2666666666666666,0.416
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.017309965565800667,0.01587134599685669,0.016928423196077347,0.017725493758916855,0.8533333539962769,0.2879999876022339,0.5653333067893982,0.540649950504303,0.5913333296775818,0.5746666789054871,0.5513166189193726,0.5993333458900452,5,0.4973333333333333,0.6493333333333333
solarization,solarization-low,appearance,curve,low,0.0057092467322945595,0.0040052831172943115,0.005376673769205809,0.006047761999070644,0.8533333539962769,0.659333348274231,0.1940000057220459,0.1706666648387909,0.21466666460037231,0.21266666054725647,0.1913333386182785,0.23333333432674408,5,0.16999999999999993,0.30266666666666664
solarization,solarization-mid,appearance,curve,mid,0.006742491386830807,0.005285382270812988,0.006425262428820133,0.00707626435905695,0.8533333539962769,0.5993333458900452,0.2540000081062317,0.23133333027362823,0.2786833643913269,0.2693333327770233,0.24666666984558105,0.2939999997615814,5,0.17933333333333334,0.32466666666666666
solarization,solarization-high,appearance,curve,high,0.013412011787295341,0.011845707893371582,0.013001744635403156,0.013804329559206963,0.8533333539962769,0.38733333349227905,0.4659999907016754,0.44065001606941223,0.4913500249385834,0.4779999852180481,0.4533333480358124,0.5040000081062317,5,0.42666666666666664,0.5813333333333334
