perturbation,artifact_label,group,role,strength,mean_cosine_distance,median_cosine_distance,cosine_distance_ci_lower,cosine_distance_ci_upper,linear_probe_original_accuracy,linear_probe_perturbed_accuracy,linear_probe_accuracy_drop,linear_probe_accuracy_drop_ci_lower,linear_probe_accuracy_drop_ci_upper,correct_to_incorrect_rate,correct_to_incorrect_ci_lower,correct_to_incorrect_ci_upper,knn_k,knn_accuracy_drop,knn_prediction_change_rate
temporal_shuffle,temporal-shuffle-mid,motion,fixed_mid,,0.07289111614227295,0.06616005301475525,0.07097282260656357,0.07471537590026855,0.9906666874885559,0.9146666526794434,0.07599999755620956,0.06266666948795319,0.09066666662693024,0.07733333110809326,0.06466666609048843,0.09200000017881393,5,0.02200000000000002,0.04133333333333333
freeze_tail,freeze-tail-low,motion,curve,low,0.01183184515684843,0.008669912815093994,0.011312810704112053,0.01234885398298502,0.9906666874885559,0.987333357334137,0.0033333334140479565,0.0,0.007333333138376474,0.004000000189989805,0.0013333333190530539,0.007333333138376474,5,0.0013333333333334085,0.011333333333333334
freeze_tail,freeze-tail-mid,motion,curve,mid,0.030334891751408577,0.024381935596466064,0.029291842132806778,0.0314490832388401,0.9906666874885559,0.9760000109672546,0.014666666276752949,0.00800000037997961,0.02199999988079071,0.01733333244919777,0.01133333332836628,0.024000000208616257,5,0.007333333333333414,0.027333333333333334
freeze_tail,freeze-tail-high,motion,curve,high,0.0738595500588417,0.06475692987442017,0.07182503491640091,0.07588063180446625,0.9906666874885559,0.9413333535194397,0.04933333396911621,0.03799999877810478,0.06133333221077919,0.0533333346247673,0.04266666620969772,0.0653500184416771,5,0.029333333333333433,0.056666666666666664
color_transform,color-low,appearance,curve,low,3.619464405346662e-05,2.7447938919067383e-05,3.3578638976905495e-05,3.943377669202164e-05,0.9906666874885559,0.9900000095367432,0.0006666666595265269,0.0,0.0020000000949949026,0.0006666666595265269,0.0,0.0020000000949949026,5,0.0,0.0
color_transform,color-mid,appearance,curve,mid,0.0007685890304856002,0.0006643533706665039,0.0007466055103577673,0.0007921046926639974,0.9906666874885559,0.9913333058357239,-0.0006666666595265269,-0.0033333334140479565,0.0013333333190530539,0.0006666666595265269,0.0,0.0020000000949949026,5,0.0033333333333334103,0.004666666666666667
color_transform,color-high,appearance,curve,high,0.009892268106341362,0.008397489786148071,0.00959781650453806,0.010177756659686565,0.9906666874885559,0.9853333234786987,0.005333333276212215,0.0006666666595265269,0.01001668255776167,0.006666666828095913,0.0026666666381061077,0.01133333332836628,5,0.0033333333333334103,0.014666666666666666
spatial_blur,spatial-blur-mid,appearance,fixed_mid,,0.15121784806251526,0.14453557133674622,0.14908699691295624,0.1533956527709961,0.9906666874885559,0.8266666531562805,0.164000004529953,0.14533333480358124,0.18333333730697632,0.1653333306312561,0.14733333885669708,0.18466666340827942,5,0.18400000000000005,0.206
rgb_quantization,rgb-quantization-low,appearance,curve,low,0.017178839072585106,0.013203352689743042,0.016461391001939774,0.01787208765745163,0.9906666874885559,0.9853333234786987,0.005333333276212215,0.0,0.01133333332836628,0.009999999776482582,0.005333333276212215,0.015333333052694798,5,0.005333333333333412,0.014
rgb_quantization,rgb-quantization-mid,appearance,curve,mid,0.0478130578994751,0.041084885597229004,0.04632755368947983,0.049268774688243866,0.9906666874885559,0.9653333425521851,0.025333333760499954,0.01600000075995922,0.03466666489839554,0.029999999329447746,0.02199999988079071,0.03866666555404663,5,0.023333333333333428,0.036
rgb_quantization,rgb-quantization-high,appearance,curve,high,0.11025171726942062,0.10251030325889587,0.10776553303003311,0.11245189607143402,0.9906666874885559,0.887333333492279,0.10333333164453506,0.08865000307559967,0.11866666376590729,0.1066666692495346,0.09200000017881393,0.1213500127196312,5,0.1100000000000001,0.13266666666666665
solarization,solarization-low,appearance,curve,low,0.04641024395823479,0.039411574602127075,0.04480305314064026,0.048112183809280396,0.9906666874885559,0.968666672706604,0.02199999988079071,0.01398333441466093,0.03133333474397659,0.026000000536441803,0.017999999225139618,0.03466666489839554,5,0.026000000000000023,0.04
solarization,solarization-mid,appearance,curve,mid,0.04664965718984604,0.041555196046829224,0.04514620080590248,0.04809022322297096,0.9906666874885559,0.9613333344459534,0.029333332553505898,0.020666666328907013,0.03933333232998848,0.03333333507180214,0.024666666984558105,0.04266666620969772,5,0.02866666666666673,0.04066666666666666
solarization,solarization-high,appearance,curve,high,0.10255821794271469,0.09836456179618835,0.1007433757185936,0.104392871260643,0.9906666874885559,0.8886666893959045,0.10199999809265137,0.08731666952371597,0.11866666376590729,0.10533333569765091,0.09066666662693024,0.12133333086967468,5,0.08600000000000008,0.11
